model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop,experiment,inspan
ACCESS-CM2,tas_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1050,1099,4x,True
ACCESS-CM2,huss_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20191108/huss_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20191108/huss_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,gn,day,1050,1099,4x,True
ACCESS-CM2,ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,950,1099,4x,True
ACCESS-CM2,tas_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/day/tas/gn/v20191112/tas_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/day/tas/gn/v20191112/tas_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1400,1449,4x,True
ACCESS-CM2,huss_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/day/huss/gn/v20191112/huss_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/day/huss/gn/v20191112/huss_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gn,day,1400,1449,4x,True
ACCESS-CM2,ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,950,1449,4x,True
ACCESS-CM2,tas_day_ACCESS-CM2_historical_r5i1p1f1_gn_19500101-19991231.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r5i1p1f1/day/tas/gn/v20210607/tas_day_ACCESS-CM2_historical_r5i1p1f1_gn_19500101-19991231.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r5i1p1f1/day/tas/gn/v20210607/tas_day_ACCESS-CM2_historical_r5i1p1f1_gn_19500101-19991231.nc,5,1,1,1,r5i1p1f1,historical,tas,gn,day,1950,1999,SSP245,True
ACCESS-CM2,tas_day_ACCESS-CM2_historical_r5i1p1f1_gn_20000101-20141231.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r5i1p1f1/day/tas/gn/v20210607/tas_day_ACCESS-CM2_historical_r5i1p1f1_gn_20000101-20141231.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r5i1p1f1/day/tas/gn/v20210607/tas_day_ACCESS-CM2_historical_r5i1p1f1_gn_20000101-20141231.nc,5,1,1,1,r5i1p1f1,historical,tas,gn,day,2000,2014,SSP245,True
ACCESS-CM2,huss_day_ACCESS-CM2_historical_r5i1p1f1_gn_19500101-19991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r5i1p1f1/day/huss/gn/v20210607/huss_day_ACCESS-CM2_historical_r5i1p1f1_gn_19500101-19991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r5i1p1f1/day/huss/gn/v20210607/huss_day_ACCESS-CM2_historical_r5i1p1f1_gn_19500101-19991231.nc,5,1,1,1,r5i1p1f1,historical,huss,gn,day,1950,1999,SSP245,True
ACCESS-CM2,huss_day_ACCESS-CM2_historical_r5i1p1f1_gn_20000101-20141231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r5i1p1f1/day/huss/gn/v20210607/huss_day_ACCESS-CM2_historical_r5i1p1f1_gn_20000101-20141231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r5i1p1f1/day/huss/gn/v20210607/huss_day_ACCESS-CM2_historical_r5i1p1f1_gn_20000101-20141231.nc,5,1,1,1,r5i1p1f1,historical,huss,gn,day,2000,2014,SSP245,True
