,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,ACCESS-CM2,ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
1,ACCESS-CM2,ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
2,ACCESS-CM2,ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
3,ACCESS-CM2,ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
4,ACCESS-CM2,ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
5,ACCESS-CM2,ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
6,ACCESS-CM2,ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
7,ACCESS-CM2,ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
8,ACCESS-CM2,ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,http://esgf.nci.org.au/thredds/dodsC/master/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
9,ACCESS-CM2,ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,http://esgf.nci.org.au/thredds/dodsC/master/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
