,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,ACCESS-ESM1-5,huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_01010101-01501231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20191115/huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_01010101-01501231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20191115/huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_01010101-01501231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,day,True
1,ACCESS-ESM1-5,huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_01510101-02001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20191115/huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_01510101-02001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20191115/huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_01510101-02001231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,day,True
2,ACCESS-ESM1-5,huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_02010101-02501231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20191115/huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_02010101-02501231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20191115/huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_02010101-02501231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,day,True
3,ACCESS-ESM1-5,tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_01010101-01501231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191115/tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_01010101-01501231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191115/tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_01010101-01501231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,ACCESS-ESM1-5,tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_01510101-02001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191115/tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_01510101-02001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191115/tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_01510101-02001231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,ACCESS-ESM1-5,tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_02010101-02501231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191115/tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_02010101-02501231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191115/tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_02010101-02501231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,ACCESS-ESM1-5,hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_01010101-01501231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/hurs/gn/v20191214/hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_01010101-01501231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/hurs/gn/v20191214/hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_01010101-01501231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
7,ACCESS-ESM1-5,hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_01510101-02001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/hurs/gn/v20191214/hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_01510101-02001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/hurs/gn/v20191214/hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_01510101-02001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
8,ACCESS-ESM1-5,hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_02010101-02501231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/hurs/gn/v20191214/hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_02010101-02501231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/hurs/gn/v20191214/hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_02010101-02501231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
9,ACCESS-ESM1-5,hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_02510101-03001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/hurs/gn/v20191214/hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_02510101-03001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/hurs/gn/v20191214/hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_02510101-03001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
