,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_010101-025012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191115/ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_010101-025012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191115/ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_010101-025012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
1,ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_010101-060012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20191214/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_010101-060012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20191214/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_010101-060012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
2,ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_060101-100012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20191214/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_060101-100012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20191214/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_060101-100012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
3,ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_010101-060012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20210316/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_010101-060012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20210316/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_010101-060012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
4,ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_060101-100012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20210316/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_060101-100012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20210316/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_060101-100012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
5,ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_100101-110012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20210316/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_100101-110012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20210316/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_100101-110012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
6,ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_010101-025012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191115/ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_010101-025012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191115/ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_010101-025012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
7,ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_010101-060012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20191214/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_010101-060012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20191214/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_010101-060012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
8,ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_060101-100012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20191214/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_060101-100012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20191214/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_060101-100012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
9,ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_010101-025012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191115/ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_010101-025012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191115/ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_010101-025012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
