,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18500101-18501231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18500101-18501231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18500101-18501231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18510101-18511231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18510101-18511231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18510101-18511231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18520101-18521231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18520101-18521231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18520101-18521231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18530101-18531231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18530101-18531231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18530101-18531231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18540101-18541231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18540101-18541231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18540101-18541231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18550101-18551231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18550101-18551231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18550101-18551231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18560101-18561231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18560101-18561231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18560101-18561231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18570101-18571231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18570101-18571231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18570101-18571231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18580101-18581231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18580101-18581231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18580101-18581231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
9,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18590101-18591231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18590101-18591231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18590101-18591231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
10,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18600101-18601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18600101-18601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18600101-18601231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
11,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18610101-18611231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18610101-18611231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18610101-18611231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
12,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18620101-18621231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18620101-18621231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18620101-18621231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
13,AWI-CM-1-1-MR,tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18630101-18631231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18630101-18631231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20181218/tas_day_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_18630101-18631231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
