,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,AWI-ESM-1-1-LR,hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18550101-18551231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18550101-18551231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18550101-18551231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
1,AWI-ESM-1-1-LR,hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18560101-18561231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18560101-18561231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18560101-18561231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
2,AWI-ESM-1-1-LR,hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18570101-18571231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18570101-18571231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18570101-18571231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
3,AWI-ESM-1-1-LR,hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18580101-18581231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18580101-18581231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18580101-18581231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
4,AWI-ESM-1-1-LR,hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18590101-18591231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18590101-18591231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18590101-18591231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
5,AWI-ESM-1-1-LR,hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18600101-18601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18600101-18601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18600101-18601231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
6,AWI-ESM-1-1-LR,hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18610101-18611231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18610101-18611231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18610101-18611231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
7,AWI-ESM-1-1-LR,hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18620101-18621231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18620101-18621231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18620101-18621231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
8,AWI-ESM-1-1-LR,hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18630101-18631231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18630101-18631231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18630101-18631231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
9,AWI-ESM-1-1-LR,hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18640101-18641231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18640101-18641231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/hurs/gn/v20200212/hurs_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18640101-18641231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
