,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00010101-00110110.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00010101-00110110.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00010101-00110110.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00101212-00210120.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00101212-00210120.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00101212-00210120.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00201222-00301231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00201222-00301231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00201222-00301231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00310101-00410110.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00310101-00410110.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00310101-00410110.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00401212-00510120.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00401212-00510120.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00401212-00510120.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00501222-00601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00501222-00601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00501222-00601231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00610101-00710110.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00610101-00710110.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00610101-00710110.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00701212-00810120.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00701212-00810120.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00701212-00810120.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00801222-00901231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00801222-00901231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00801222-00901231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
9,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00910101-01010110.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00910101-01010110.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00910101-01010110.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
