,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,CESM2-WACCM-FV2,ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_000101-004912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_000101-004912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_000101-004912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
1,CESM2-WACCM-FV2,ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_005001-009912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_005001-009912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_005001-009912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
2,CESM2-WACCM-FV2,ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_010001-014912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_010001-014912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_010001-014912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
3,CESM2-WACCM-FV2,ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_015001-019912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_015001-019912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_015001-019912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
4,CESM2-WACCM-FV2,ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_020001-024912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_020001-024912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_020001-024912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
5,CESM2-WACCM-FV2,ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_025001-029912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_025001-029912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_025001-029912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
6,CESM2-WACCM-FV2,ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_030001-034912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_030001-034912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_030001-034912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
7,CESM2-WACCM-FV2,ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_035001-039912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_035001-039912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_035001-039912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
8,CESM2-WACCM-FV2,ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_040001-044912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_040001-044912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_040001-044912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
9,CESM2-WACCM-FV2,ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_045001-049912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_045001-049912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/ps/gn/v20191120/ps_Amon_CESM2-WACCM-FV2_piControl_r1i1p1f1_gn_045001-049912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
