,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00010101-00101231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00010101-00101231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00010101-00101231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00110101-00201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00110101-00201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00110101-00201231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00210101-00301231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00210101-00301231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00210101-00301231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00310101-00401231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00310101-00401231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00310101-00401231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00410101-00501231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00410101-00501231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00410101-00501231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00510101-00601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00510101-00601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00510101-00601231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00610101-00701231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00610101-00701231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00610101-00701231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00710101-00801231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00710101-00801231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00710101-00801231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00810101-00901231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00810101-00901231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00810101-00901231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
9,CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00910101-01001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00910101-01001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_00910101-01001231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
