,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18500101-18741231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18500101-18741231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18500101-18741231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18750101-18991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18750101-18991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18750101-18991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_20000101-20141231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_20000101-20141231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_20000101-20141231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,CMCC-CM2-SR5,hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_18500101-18741231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_18500101-18741231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_18500101-18741231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
4,CMCC-CM2-SR5,hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_18750101-18991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_18750101-18991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_18750101-18991231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
5,CMCC-CM2-SR5,hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_19000101-19241231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_19000101-19241231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_19000101-19241231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
6,CMCC-CM2-SR5,hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_19250101-19491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_19250101-19491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_19250101-19491231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
7,CMCC-CM2-SR5,hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_19500101-19741231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_19500101-19741231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_19500101-19741231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
8,CMCC-CM2-SR5,hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_19750101-19991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_19750101-19991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_19750101-19991231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
9,CMCC-CM2-SR5,hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_20000101-20241231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_20000101-20241231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/day/hurs/gn/v20200616/hurs_day_CMCC-CM2-SR5_piControl_r1i1p1f1_gn_20000101-20241231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
