,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,CNRM-CM6-1-HR,huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_18500101-18741231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_18500101-18741231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_18500101-18741231.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
1,CNRM-CM6-1-HR,huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_18750101-18991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_18750101-18991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_18750101-18991231.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
2,CNRM-CM6-1-HR,huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_19000101-19241231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_19000101-19241231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_19000101-19241231.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
3,CNRM-CM6-1-HR,huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_19250101-19491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_19250101-19491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_19250101-19491231.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
4,CNRM-CM6-1-HR,huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_19500101-19741231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_19500101-19741231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_19500101-19741231.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
5,CNRM-CM6-1-HR,huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_19750101-19991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_19750101-19991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_19750101-19991231.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
6,CNRM-CM6-1-HR,huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_20000101-20241231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_20000101-20241231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_20000101-20241231.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
7,CNRM-CM6-1-HR,huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_20250101-20491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_20250101-20491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_20250101-20491231.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
8,CNRM-CM6-1-HR,huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_20500101-20741231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_20500101-20741231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_20500101-20741231.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
9,CNRM-CM6-1-HR,huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_20750101-20991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_20750101-20991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_20750101-20991231.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
