,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,CNRM-CM6-1-HR,ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,True
1,CNRM-CM6-1-HR,ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,True
2,CNRM-CM6-1-HR,ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,False
3,CNRM-CM6-1-HR,ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
4,CNRM-CM6-1-HR,ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,False
5,CNRM-CM6-1-HR,ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
6,CNRM-CM6-1-HR,ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,http://esg1.umr-cnrm.fr/thredds/fileServer/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,http://esg1.umr-cnrm.fr/thredds/dodsC/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,False
7,CNRM-CM6-1-HR,ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,http://esg1.umr-cnrm.fr/thredds/fileServer/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,http://esg1.umr-cnrm.fr/thredds/dodsC/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
8,CNRM-CM6-1-HR,ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_piControl_r1i1p1f2_gr_185001-214912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
9,CNRM-CM6-1-HR,ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20191021/ps_Amon_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,False
