,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,CNRM-CM6-1,ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20180705/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20180705/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,True
1,CNRM-CM6-1,ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_gr_185003-185912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r2i1p1f2/Amon/ps/gr/v20181012/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_gr_185003-185912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r2i1p1f2/Amon/ps/gr/v20181012/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_gr_185003-185912.nc,2,1,1,2,r2i1p1f2,abrupt-4xCO2,ps,day,True
2,CNRM-CM6-1,ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r3i1p1f2_gr_185005-185912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r3i1p1f2/Amon/ps/gr/v20181012/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r3i1p1f2_gr_185005-185912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r3i1p1f2/Amon/ps/gr/v20181012/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r3i1p1f2_gr_185005-185912.nc,3,1,1,2,r3i1p1f2,abrupt-4xCO2,ps,day,True
3,CNRM-CM6-1,ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r4i1p1f2_gr_185007-185912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r4i1p1f2/Amon/ps/gr/v20181012/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r4i1p1f2_gr_185007-185912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r4i1p1f2/Amon/ps/gr/v20181012/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r4i1p1f2_gr_185007-185912.nc,4,1,1,2,r4i1p1f2,abrupt-4xCO2,ps,day,True
4,CNRM-CM6-1,ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_gr_185009-185912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r5i1p1f2/Amon/ps/gr/v20181012/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_gr_185009-185912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r5i1p1f2/Amon/ps/gr/v20181012/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_gr_185009-185912.nc,5,1,1,2,r5i1p1f2,abrupt-4xCO2,ps,day,True
5,CNRM-CM6-1,ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r6i1p1f2_gr_185011-185912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r6i1p1f2/Amon/ps/gr/v20181012/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r6i1p1f2_gr_185011-185912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r6i1p1f2/Amon/ps/gr/v20181012/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r6i1p1f2_gr_185011-185912.nc,6,1,1,2,r6i1p1f2,abrupt-4xCO2,ps,day,True
6,CNRM-CM6-1,ps_Amon_CNRM-CM6-1_piControl_r1i1p1f2_gr_185001-234912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Amon/ps/gr/v20180814/ps_Amon_CNRM-CM6-1_piControl_r1i1p1f2_gr_185001-234912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Amon/ps/gr/v20180814/ps_Amon_CNRM-CM6-1_piControl_r1i1p1f2_gr_185001-234912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,True
7,CNRM-CM6-1,ps_AERmon_CNRM-CM6-1_piControl_r1i1p1f2_gr_185001-234912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/AERmon/ps/gr/v20180814/ps_AERmon_CNRM-CM6-1_piControl_r1i1p1f2_gr_185001-234912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/AERmon/ps/gr/v20180814/ps_AERmon_CNRM-CM6-1_piControl_r1i1p1f2_gr_185001-234912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
8,CNRM-CM6-1,ps_Amon_CNRM-CM6-1_piControl_r1i1p1f2_gr_185001-234912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Amon/ps/gr/v20180814/ps_Amon_CNRM-CM6-1_piControl_r1i1p1f2_gr_185001-234912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Amon/ps/gr/v20180814/ps_Amon_CNRM-CM6-1_piControl_r1i1p1f2_gr_185001-234912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
9,CNRM-CM6-1,ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r4i1p1f2_gr_185007-185912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r4i1p1f2/Amon/ps/gr/v20181012/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r4i1p1f2_gr_185007-185912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r4i1p1f2/Amon/ps/gr/v20181012/ps_Amon_CNRM-CM6-1_abrupt-4xCO2_r4i1p1f2_gr_185007-185912.nc,4,1,1,2,r4i1p1f2,abrupt-4xCO2,ps,day,False
