,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,CNRM-ESM2-1,tas_day_CNRM-ESM2-1_abrupt-4xCO2_r1i1p1f2_gr_18500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20181026/tas_day_CNRM-ESM2-1_abrupt-4xCO2_r1i1p1f2_gr_18500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20181026/tas_day_CNRM-ESM2-1_abrupt-4xCO2_r1i1p1f2_gr_18500101-19991231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,day,True
1,CNRM-ESM2-1,tas_day_CNRM-ESM2-1_abrupt-4xCO2_r2i1p1f2_gr_18500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r2i1p1f2/day/tas/gr/v20181106/tas_day_CNRM-ESM2-1_abrupt-4xCO2_r2i1p1f2_gr_18500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r2i1p1f2/day/tas/gr/v20181106/tas_day_CNRM-ESM2-1_abrupt-4xCO2_r2i1p1f2_gr_18500101-19991231.nc,2,1,1,2,r2i1p1f2,abrupt-4xCO2,tas,day,True
2,CNRM-ESM2-1,tas_day_CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_gr_18500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r3i1p1f2/day/tas/gr/v20190208/tas_day_CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_gr_18500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r3i1p1f2/day/tas/gr/v20190208/tas_day_CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_gr_18500101-19991231.nc,3,1,1,2,r3i1p1f2,abrupt-4xCO2,tas,day,True
3,CNRM-ESM2-1,hurs_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/hurs/gr/v20181115/hurs_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/hurs/gr/v20181115/hurs_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_18500101-20991231.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
4,CNRM-ESM2-1,hurs_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_21000101-23491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/hurs/gr/v20181115/hurs_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_21000101-23491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/hurs/gr/v20181115/hurs_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_21000101-23491231.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
5,CNRM-ESM2-1,huss_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/huss/gr/v20181115/huss_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/huss/gr/v20181115/huss_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_18500101-20991231.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
6,CNRM-ESM2-1,huss_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_21000101-23491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/huss/gr/v20181115/huss_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_21000101-23491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/huss/gr/v20181115/huss_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_21000101-23491231.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
7,CNRM-ESM2-1,tas_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/tas/gr/v20181115/tas_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/tas/gr/v20181115/tas_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_18500101-20991231.nc,1,1,1,2,r1i1p1f2,piControl,tas,day,True
8,CNRM-ESM2-1,tas_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_21000101-23491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/tas/gr/v20181115/tas_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_21000101-23491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/tas/gr/v20181115/tas_day_CNRM-ESM2-1_piControl_r1i1p1f2_gr_21000101-23491231.nc,1,1,1,2,r1i1p1f2,piControl,tas,day,True
9,CNRM-ESM2-1,huss_day_CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_gr_18500101-19491231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r3i1p1f2/day/huss/gr/v20190208/huss_day_CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_gr_18500101-19491231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r3i1p1f2/day/huss/gr/v20190208/huss_day_CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_gr_18500101-19491231.nc,3,1,1,2,r3i1p1f2,abrupt-4xCO2,huss,day,False
