,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,CNRM-ESM2-1,ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20181026/ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20181026/ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,True
1,CNRM-ESM2-1,ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r2i1p1f2_gr_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r2i1p1f2/Amon/ps/gr/v20181106/ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r2i1p1f2_gr_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r2i1p1f2/Amon/ps/gr/v20181106/ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r2i1p1f2_gr_185001-199912.nc,2,1,1,2,r2i1p1f2,abrupt-4xCO2,ps,day,True
2,CNRM-ESM2-1,ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_gr_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r3i1p1f2/Amon/ps/gr/v20190208/ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_gr_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r3i1p1f2/Amon/ps/gr/v20190208/ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_gr_185001-199912.nc,3,1,1,2,r3i1p1f2,abrupt-4xCO2,ps,day,True
3,CNRM-ESM2-1,ps_Amon_CNRM-ESM2-1_piControl_r1i1p1f2_gr_185001-234912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Amon/ps/gr/v20181115/ps_Amon_CNRM-ESM2-1_piControl_r1i1p1f2_gr_185001-234912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Amon/ps/gr/v20181115/ps_Amon_CNRM-ESM2-1_piControl_r1i1p1f2_gr_185001-234912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,True
4,CNRM-ESM2-1,ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_gr_185001-199912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r3i1p1f2/Amon/ps/gr/v20190208/ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_gr_185001-199912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r3i1p1f2/Amon/ps/gr/v20190208/ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_gr_185001-199912.nc,3,1,1,2,r3i1p1f2,abrupt-4xCO2,ps,day,False
5,CNRM-ESM2-1,ps_AERmon_CNRM-ESM2-1_piControl_r1i1p1f2_gr_185001-209912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/AERmon/ps/gr/v20181115/ps_AERmon_CNRM-ESM2-1_piControl_r1i1p1f2_gr_185001-209912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/AERmon/ps/gr/v20181115/ps_AERmon_CNRM-ESM2-1_piControl_r1i1p1f2_gr_185001-209912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
6,CNRM-ESM2-1,ps_AERmon_CNRM-ESM2-1_piControl_r1i1p1f2_gr_210001-210512.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/AERmon/ps/gr/v20181115/ps_AERmon_CNRM-ESM2-1_piControl_r1i1p1f2_gr_210001-210512.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/AERmon/ps/gr/v20181115/ps_AERmon_CNRM-ESM2-1_piControl_r1i1p1f2_gr_210001-210512.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
7,CNRM-ESM2-1,ps_Amon_CNRM-ESM2-1_piControl_r1i1p1f2_gr_185001-234912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Amon/ps/gr/v20181115/ps_Amon_CNRM-ESM2-1_piControl_r1i1p1f2_gr_185001-234912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Amon/ps/gr/v20181115/ps_Amon_CNRM-ESM2-1_piControl_r1i1p1f2_gr_185001-234912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
8,CNRM-ESM2-1,ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20181026/ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r1i1p1f2/Amon/ps/gr/v20181026/ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r1i1p1f2_gr_185001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,False
9,CNRM-ESM2-1,ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r2i1p1f2_gr_185001-199912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r2i1p1f2/Amon/ps/gr/v20181106/ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r2i1p1f2_gr_185001-199912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r2i1p1f2/Amon/ps/gr/v20181106/ps_Amon_CNRM-ESM2-1_abrupt-4xCO2_r2i1p1f2_gr_185001-199912.nc,2,1,1,2,r2i1p1f2,abrupt-4xCO2,ps,day,False
