,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,CanESM5,tas_day_CanESM5_abrupt-4xCO2_r1i1p1f1_gn_18500101-20001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190429/tas_day_CanESM5_abrupt-4xCO2_r1i1p1f1_gn_18500101-20001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190429/tas_day_CanESM5_abrupt-4xCO2_r1i1p1f1_gn_18500101-20001231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,CanESM5,tas_day_CanESM5_abrupt-4xCO2_r1i1p2f1_gn_18500101-20001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/abrupt-4xCO2/r1i1p2f1/day/tas/gn/v20190429/tas_day_CanESM5_abrupt-4xCO2_r1i1p2f1_gn_18500101-20001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/abrupt-4xCO2/r1i1p2f1/day/tas/gn/v20190429/tas_day_CanESM5_abrupt-4xCO2_r1i1p2f1_gn_18500101-20001231.nc,1,1,2,1,r1i1p2f1,abrupt-4xCO2,tas,day,True
2,CanESM5,hurs_day_CanESM5_piControl_r1i1p1f1_gn_52010101-54001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/hurs/gn/v20190429/hurs_day_CanESM5_piControl_r1i1p1f1_gn_52010101-54001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/hurs/gn/v20190429/hurs_day_CanESM5_piControl_r1i1p1f1_gn_52010101-54001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
3,CanESM5,hurs_day_CanESM5_piControl_r1i1p1f1_gn_54010101-56001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/hurs/gn/v20190429/hurs_day_CanESM5_piControl_r1i1p1f1_gn_54010101-56001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/hurs/gn/v20190429/hurs_day_CanESM5_piControl_r1i1p1f1_gn_54010101-56001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
4,CanESM5,hurs_day_CanESM5_piControl_r1i1p1f1_gn_56010101-58001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/hurs/gn/v20190429/hurs_day_CanESM5_piControl_r1i1p1f1_gn_56010101-58001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/hurs/gn/v20190429/hurs_day_CanESM5_piControl_r1i1p1f1_gn_56010101-58001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
5,CanESM5,hurs_day_CanESM5_piControl_r1i1p1f1_gn_58010101-60001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/hurs/gn/v20190429/hurs_day_CanESM5_piControl_r1i1p1f1_gn_58010101-60001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/hurs/gn/v20190429/hurs_day_CanESM5_piControl_r1i1p1f1_gn_58010101-60001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
6,CanESM5,hurs_day_CanESM5_piControl_r1i1p1f1_gn_60010101-62001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/hurs/gn/v20190429/hurs_day_CanESM5_piControl_r1i1p1f1_gn_60010101-62001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/hurs/gn/v20190429/hurs_day_CanESM5_piControl_r1i1p1f1_gn_60010101-62001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
7,CanESM5,huss_day_CanESM5_piControl_r1i1p1f1_gn_52010101-54001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/huss/gn/v20190429/huss_day_CanESM5_piControl_r1i1p1f1_gn_52010101-54001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/huss/gn/v20190429/huss_day_CanESM5_piControl_r1i1p1f1_gn_52010101-54001231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
8,CanESM5,huss_day_CanESM5_piControl_r1i1p1f1_gn_54010101-56001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/huss/gn/v20190429/huss_day_CanESM5_piControl_r1i1p1f1_gn_54010101-56001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/huss/gn/v20190429/huss_day_CanESM5_piControl_r1i1p1f1_gn_54010101-56001231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
9,CanESM5,huss_day_CanESM5_piControl_r1i1p1f1_gn_56010101-58001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/huss/gn/v20190429/huss_day_CanESM5_piControl_r1i1p1f1_gn_56010101-58001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/huss/gn/v20190429/huss_day_CanESM5_piControl_r1i1p1f1_gn_56010101-58001231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
10,CanESM5,huss_day_CanESM5_piControl_r1i1p1f1_gn_58010101-60001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/huss/gn/v20190429/huss_day_CanESM5_piControl_r1i1p1f1_gn_58010101-60001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/huss/gn/v20190429/huss_day_CanESM5_piControl_r1i1p1f1_gn_58010101-60001231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
11,CanESM5,huss_day_CanESM5_piControl_r1i1p1f1_gn_60010101-62001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/huss/gn/v20190429/huss_day_CanESM5_piControl_r1i1p1f1_gn_60010101-62001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/huss/gn/v20190429/huss_day_CanESM5_piControl_r1i1p1f1_gn_60010101-62001231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
