,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,CanESM5,ps_Amon_CanESM5_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
1,CanESM5,ps_Amon_CanESM5_abrupt-4xCO2_r1i1p2f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/abrupt-4xCO2/r1i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_abrupt-4xCO2_r1i1p2f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/abrupt-4xCO2/r1i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_abrupt-4xCO2_r1i1p2f1_gn_185001-200012.nc,1,1,2,1,r1i1p2f1,abrupt-4xCO2,ps,day,True
2,CanESM5,ps_Amon_CanESM5_piControl_r1i1p1f1_gn_520101-540012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p1f1_gn_520101-540012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p1f1_gn_520101-540012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
3,CanESM5,ps_Amon_CanESM5_piControl_r1i1p1f1_gn_540101-560012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p1f1_gn_540101-560012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p1f1_gn_540101-560012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
4,CanESM5,ps_Amon_CanESM5_piControl_r1i1p1f1_gn_560101-580012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p1f1_gn_560101-580012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p1f1_gn_560101-580012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
5,CanESM5,ps_Amon_CanESM5_piControl_r1i1p1f1_gn_580101-600012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p1f1_gn_580101-600012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p1f1_gn_580101-600012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
6,CanESM5,ps_Amon_CanESM5_piControl_r1i1p1f1_gn_600101-620012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p1f1_gn_600101-620012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p1f1_gn_600101-620012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
7,CanESM5,ps_Amon_CanESM5_piControl_r1i1p2f1_gn_555001-560012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p2f1_gn_555001-560012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p2f1_gn_555001-560012.nc,1,1,2,1,r1i1p2f1,piControl,ps,day,True
8,CanESM5,ps_Amon_CanESM5_piControl_r1i1p2f1_gn_560101-580012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p2f1_gn_560101-580012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p2f1_gn_560101-580012.nc,1,1,2,1,r1i1p2f1,piControl,ps,day,True
9,CanESM5,ps_Amon_CanESM5_piControl_r1i1p2f1_gn_580101-600012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p2f1_gn_580101-600012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_piControl_r1i1p2f1_gn_580101-600012.nc,1,1,2,1,r1i1p2f1,piControl,ps,day,True
