,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,E3SM-2-0,tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00010101-00101231.nc,https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00010101-00101231.nc,https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00010101-00101231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True
1,E3SM-2-0,tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00110101-00201231.nc,https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00110101-00201231.nc,https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00110101-00201231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True
2,E3SM-2-0,tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00210101-00301231.nc,https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00210101-00301231.nc,https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00210101-00301231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True
3,E3SM-2-0,tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00310101-00401231.nc,https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00310101-00401231.nc,https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00310101-00401231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True
4,E3SM-2-0,tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00410101-00501231.nc,https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00410101-00501231.nc,https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00410101-00501231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True
5,E3SM-2-0,tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00510101-00601231.nc,https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00510101-00601231.nc,https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00510101-00601231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True
6,E3SM-2-0,tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00610101-00701231.nc,https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00610101-00701231.nc,https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00610101-00701231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True
7,E3SM-2-0,tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00710101-00801231.nc,https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00710101-00801231.nc,https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00710101-00801231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True
8,E3SM-2-0,tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00810101-00901231.nc,https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00810101-00901231.nc,https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00810101-00901231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True
9,E3SM-2-0,tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00910101-01001231.nc,https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00910101-01001231.nc,https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_00910101-01001231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True
10,E3SM-2-0,tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_01010101-01101231.nc,https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_01010101-01101231.nc,https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20220922/tas_day_E3SM-2-0_abrupt-4xCO2_r2i1p1f1_gr_01010101-01101231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True
