,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18500101-18501231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18500101-18501231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18500101-18501231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18510101-18511231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18510101-18511231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18510101-18511231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18520101-18521231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18520101-18521231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18520101-18521231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18530101-18531231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18530101-18531231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18530101-18531231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18540101-18541231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18540101-18541231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18540101-18541231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18550101-18551231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18550101-18551231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18550101-18551231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18560101-18561231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18560101-18561231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18560101-18561231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18570101-18571231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18570101-18571231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18570101-18571231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18580101-18581231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18580101-18581231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18580101-18581231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
9,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18590101-18591231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18590101-18591231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18590101-18591231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
10,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18600101-18601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18600101-18601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18600101-18601231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
11,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18610101-18611231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18610101-18611231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18610101-18611231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
12,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18620101-18621231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18620101-18621231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18620101-18621231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
13,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18630101-18631231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18630101-18631231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18630101-18631231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
14,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18640101-18641231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18640101-18641231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18640101-18641231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
15,EC-Earth3-CC,tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18650101-18651231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18650101-18651231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201230/tas_day_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_18650101-18651231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
