,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,EC-Earth3-CC,ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185001-185012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
1,EC-Earth3-CC,ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185101-185112.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185101-185112.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185101-185112.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
2,EC-Earth3-CC,ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185201-185212.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185201-185212.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185201-185212.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
3,EC-Earth3-CC,ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185301-185312.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185301-185312.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185301-185312.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
4,EC-Earth3-CC,ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185401-185412.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185401-185412.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185401-185412.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
5,EC-Earth3-CC,ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185501-185512.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185501-185512.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185501-185512.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
6,EC-Earth3-CC,ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185601-185612.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185601-185612.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185601-185612.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
7,EC-Earth3-CC,ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185701-185712.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185701-185712.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185701-185712.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
8,EC-Earth3-CC,ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185801-185812.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185801-185812.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185801-185812.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
9,EC-Earth3-CC,ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185901-185912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185901-185912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20210526/ps_Amon_EC-Earth3-CC_abrupt-4xCO2_r1i1p1f1_gr_185901-185912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
