,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,EC-Earth3-Veg-LR,hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23000101-23001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23000101-23001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23000101-23001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
1,EC-Earth3-Veg-LR,hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23010101-23011231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23010101-23011231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23010101-23011231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
2,EC-Earth3-Veg-LR,hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23020101-23021231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23020101-23021231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23020101-23021231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
3,EC-Earth3-Veg-LR,hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23030101-23031231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23030101-23031231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23030101-23031231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
4,EC-Earth3-Veg-LR,hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23040101-23041231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23040101-23041231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23040101-23041231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
5,EC-Earth3-Veg-LR,hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23050101-23051231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23050101-23051231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23050101-23051231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
6,EC-Earth3-Veg-LR,hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23060101-23061231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23060101-23061231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23060101-23061231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
7,EC-Earth3-Veg-LR,hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23070101-23071231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23070101-23071231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23070101-23071231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
8,EC-Earth3-Veg-LR,hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23080101-23081231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23080101-23081231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23080101-23081231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
9,EC-Earth3-Veg-LR,hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23090101-23091231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23090101-23091231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/day/hurs/gr/v20200213/hurs_day_EC-Earth3-Veg-LR_piControl_r1i1p1f1_gr_23090101-23091231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
