,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,FGOALS-f3-L,tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18500101-18591231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18500101-18591231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18500101-18591231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,FGOALS-f3-L,tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18600101-18691231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18600101-18691231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18600101-18691231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,FGOALS-f3-L,tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18700101-18791231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18700101-18791231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18700101-18791231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,FGOALS-f3-L,tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18800101-18891231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18800101-18891231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18800101-18891231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,FGOALS-f3-L,tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18900101-18991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18900101-18991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_18900101-18991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,FGOALS-f3-L,tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19000101-19091231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19000101-19091231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19000101-19091231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,FGOALS-f3-L,tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19100101-19191231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19100101-19191231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19100101-19191231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,FGOALS-f3-L,tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19200101-19291231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19200101-19291231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19200101-19291231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,FGOALS-f3-L,tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19300101-19391231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19300101-19391231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19300101-19391231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
9,FGOALS-f3-L,tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19400101-19491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19400101-19491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19400101-19491231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
10,FGOALS-f3-L,tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19500101-19591231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19500101-19591231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-f3-L/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20191022/tas_day_FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_gr_19500101-19591231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
