,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04630101-04631231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04630101-04631231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04630101-04631231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04660101-04661231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04660101-04661231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04660101-04661231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04670101-04671231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04670101-04671231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04670101-04671231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04680101-04681231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04680101-04681231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04680101-04681231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04690101-04691231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04690101-04691231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04690101-04691231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04700101-04701231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04700101-04701231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04700101-04701231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04720101-04721231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04720101-04721231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04720101-04721231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04740101-04741231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04740101-04741231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04740101-04741231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04750101-04751231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04750101-04751231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04750101-04751231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
9,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04760101-04761231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04760101-04761231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04760101-04761231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
10,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04770101-04771231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04770101-04771231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04770101-04771231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
