,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,FIO-ESM-2-0,hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03010101-03121231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03010101-03121231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03010101-03121231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
1,FIO-ESM-2-0,hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03130101-03241231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03130101-03241231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03130101-03241231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
2,FIO-ESM-2-0,hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03250101-03361231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03250101-03361231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03250101-03361231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
3,FIO-ESM-2-0,hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03370101-03481231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03370101-03481231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03370101-03481231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
4,FIO-ESM-2-0,hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03490101-03601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03490101-03601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03490101-03601231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
5,FIO-ESM-2-0,hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03610101-03721231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03610101-03721231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03610101-03721231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
6,FIO-ESM-2-0,hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03730101-03841231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03730101-03841231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03730101-03841231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
7,FIO-ESM-2-0,hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03850101-03961231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03850101-03961231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03850101-03961231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
8,FIO-ESM-2-0,hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03970101-04081231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03970101-04081231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03970101-04081231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
9,FIO-ESM-2-0,hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_04090101-04201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_04090101-04201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/hurs/gn/v20191010/hurs_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_04090101-04201231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
