,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,GFDL-CM4,tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00010101-00201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00010101-00201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00010101-00201231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,GFDL-CM4,tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00210101-00401231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00210101-00401231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00210101-00401231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,GFDL-CM4,tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00410101-00601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00410101-00601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00410101-00601231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,GFDL-CM4,tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00610101-00801231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00610101-00801231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00610101-00801231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,GFDL-CM4,tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00810101-01001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00810101-01001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_00810101-01001231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,GFDL-CM4,tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_01010101-01201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_01010101-01201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_01010101-01201231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,GFDL-CM4,tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_01210101-01401231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_01210101-01401231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_01210101-01401231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,GFDL-CM4,tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_01410101-01501231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_01410101-01501231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_01410101-01501231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,GFDL-CM4,tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr2_00010101-00201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr2/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr2_00010101-00201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr2/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr2_00010101-00201231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
9,GFDL-CM4,tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr2_00210101-00401231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr2/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr2_00210101-00401231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr2/v20180701/tas_day_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr2_00210101-00401231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
