,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,GFDL-CM4,ps_AERmon_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_000101-010012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_000101-010012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_000101-010012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
1,GFDL-CM4,ps_AERmon_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_010101-015012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_010101-015012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_abrupt-4xCO2_r1i1p1f1_gr1_010101-015012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
2,GFDL-CM4,ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_015101-025012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_015101-025012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_015101-025012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
3,GFDL-CM4,ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_025101-035012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_025101-035012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_025101-035012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
4,GFDL-CM4,ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_035101-045012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_035101-045012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_035101-045012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
5,GFDL-CM4,ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_045101-055012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_045101-055012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_045101-055012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
6,GFDL-CM4,ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_055101-065012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_055101-065012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_piControl_r1i1p1f1_gr1_055101-065012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
7,GFDL-CM4,ps_CFmon_GFDL-CM4_piControl_r1i1p1f1_gr1_015101-025012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_piControl_r1i1p1f1_gr1_015101-025012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_piControl_r1i1p1f1_gr1_015101-025012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
8,GFDL-CM4,ps_CFmon_GFDL-CM4_piControl_r1i1p1f1_gr1_025101-035012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_piControl_r1i1p1f1_gr1_025101-035012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_piControl_r1i1p1f1_gr1_025101-035012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
9,GFDL-CM4,ps_CFmon_GFDL-CM4_piControl_r1i1p1f1_gr1_035101-045012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_piControl_r1i1p1f1_gr1_035101-045012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_piControl_r1i1p1f1_gr1_035101-045012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
