,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,HadGEM3-GC31-LL,ps_Amon_HadGEM3-GC31-LL_abrupt-4xCO2_r1i1p1f3_gn_185001-194912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20190620/ps_Amon_HadGEM3-GC31-LL_abrupt-4xCO2_r1i1p1f3_gn_185001-194912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20190620/ps_Amon_HadGEM3-GC31-LL_abrupt-4xCO2_r1i1p1f3_gn_185001-194912.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
1,HadGEM3-GC31-LL,ps_Amon_HadGEM3-GC31-LL_abrupt-4xCO2_r1i1p1f3_gn_195001-199912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20190620/ps_Amon_HadGEM3-GC31-LL_abrupt-4xCO2_r1i1p1f3_gn_195001-199912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20190620/ps_Amon_HadGEM3-GC31-LL_abrupt-4xCO2_r1i1p1f3_gn_195001-199912.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
2,HadGEM3-GC31-LL,ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_185001-194912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20190628/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_185001-194912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20190628/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_185001-194912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
3,HadGEM3-GC31-LL,ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_195001-204912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20190628/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_195001-204912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20190628/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_195001-204912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
4,HadGEM3-GC31-LL,ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_205001-214912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20190628/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_205001-214912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20190628/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_205001-214912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
5,HadGEM3-GC31-LL,ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_215001-224912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20190628/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_215001-224912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20190628/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_215001-224912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
6,HadGEM3-GC31-LL,ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_225001-234912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20190628/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_225001-234912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20190628/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_225001-234912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
7,HadGEM3-GC31-LL,ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_185001-194912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20211103/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_185001-194912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20211103/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_185001-194912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
8,HadGEM3-GC31-LL,ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_195001-204912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20211103/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_195001-204912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20211103/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_195001-204912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
9,HadGEM3-GC31-LL,ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_205001-214912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20211103/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_205001-214912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/AERmon/ps/gn/v20211103/ps_AERmon_HadGEM3-GC31-LL_piControl_r1i1p1f1_gn_205001-214912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
