,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,HadGEM3-GC31-MM,ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18500101-18541230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18500101-18541230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18500101-18541230.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
1,HadGEM3-GC31-MM,ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18550101-18591230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18550101-18591230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18550101-18591230.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
2,HadGEM3-GC31-MM,ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18600101-18641230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18600101-18641230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18600101-18641230.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
3,HadGEM3-GC31-MM,ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18650101-18691230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18650101-18691230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18650101-18691230.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
4,HadGEM3-GC31-MM,ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18700101-18741230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18700101-18741230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18700101-18741230.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
5,HadGEM3-GC31-MM,ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18750101-18791230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18750101-18791230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18750101-18791230.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
6,HadGEM3-GC31-MM,ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18800101-18841230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18800101-18841230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18800101-18841230.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
7,HadGEM3-GC31-MM,ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18850101-18891230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18850101-18891230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18850101-18891230.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
8,HadGEM3-GC31-MM,ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18900101-18941230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18900101-18941230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18900101-18941230.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
9,HadGEM3-GC31-MM,ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18950101-18991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18950101-18991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/CFday/ps/gn/v20200123/ps_CFday_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_18950101-18991230.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
