,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,HadGEM3-GC31-MM,ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_185001-186912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_185001-186912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_185001-186912.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
1,HadGEM3-GC31-MM,ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_187001-188912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_187001-188912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_187001-188912.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
2,HadGEM3-GC31-MM,ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_189001-190912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_189001-190912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_189001-190912.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
3,HadGEM3-GC31-MM,ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_191001-192912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_191001-192912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_191001-192912.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
4,HadGEM3-GC31-MM,ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_193001-194912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_193001-194912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_193001-194912.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
5,HadGEM3-GC31-MM,ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_195001-196912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_195001-196912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_195001-196912.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
6,HadGEM3-GC31-MM,ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_197001-198912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_197001-198912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_197001-198912.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
7,HadGEM3-GC31-MM,ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_199001-199912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_199001-199912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20200115/ps_Amon_HadGEM3-GC31-MM_abrupt-4xCO2_r1i1p1f3_gn_199001-199912.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,day,True
8,HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_185001-186912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_185001-186912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_185001-186912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
9,HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_187001-188912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_187001-188912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_187001-188912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
10,HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_189001-190912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_189001-190912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_189001-190912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
11,HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_191001-192912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_191001-192912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_191001-192912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
12,HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_193001-194912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_193001-194912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_193001-194912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
13,HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_195001-196912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_195001-196912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_195001-196912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
14,HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_197001-198912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_197001-198912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_197001-198912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
15,HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_199001-200912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_199001-200912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon/ps/gn/v20190920/ps_AERmon_HadGEM3-GC31-MM_piControl_r1i1p1f1_gn_199001-200912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
