,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,ICON-ESM-LR,tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18500101-18591231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18500101-18591231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18500101-18591231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,ICON-ESM-LR,tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18600101-18691231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18600101-18691231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18600101-18691231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,ICON-ESM-LR,tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18700101-18791231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18700101-18791231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18700101-18791231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,ICON-ESM-LR,tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18800101-18891231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18800101-18891231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18800101-18891231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,ICON-ESM-LR,tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18900101-18991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18900101-18991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_18900101-18991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,ICON-ESM-LR,tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19000101-19091231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19000101-19091231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19000101-19091231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,ICON-ESM-LR,tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19100101-19191231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19100101-19191231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19100101-19191231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,ICON-ESM-LR,tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19200101-19291231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19200101-19291231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19200101-19291231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,ICON-ESM-LR,tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19300101-19391231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19300101-19391231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19300101-19391231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
9,ICON-ESM-LR,tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19400101-19491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19400101-19491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_ICON-ESM-LR_abrupt-4xCO2_r1i1p1f1_gn_19400101-19491231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
