,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,IITM-ESM,tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18500101-18541231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18500101-18541231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18500101-18541231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,IITM-ESM,tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18550101-18591231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18550101-18591231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18550101-18591231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,IITM-ESM,tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18600101-18641231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18600101-18641231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18600101-18641231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,IITM-ESM,tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18650101-18691231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18650101-18691231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18650101-18691231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,IITM-ESM,tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18700101-18741231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18700101-18741231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18700101-18741231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,IITM-ESM,tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18750101-18791231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18750101-18791231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18750101-18791231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,IITM-ESM,tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18800101-18841231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18800101-18841231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18800101-18841231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,IITM-ESM,tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18850101-18891231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18850101-18891231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18850101-18891231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,IITM-ESM,tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18900101-18941231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18900101-18941231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18900101-18941231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
9,IITM-ESM,tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18950101-18991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18950101-18991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_18950101-18991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
10,IITM-ESM,tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_19000101-19041231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_19000101-19041231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191223/tas_day_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_19000101-19041231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
