,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,IITM-ESM,ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_185001-185912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_185001-185912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_185001-185912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
1,IITM-ESM,ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_186001-186912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_186001-186912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_186001-186912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
2,IITM-ESM,ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_187001-187912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_187001-187912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_187001-187912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
3,IITM-ESM,ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_188001-188912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_188001-188912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_188001-188912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
4,IITM-ESM,ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_189001-189912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_189001-189912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_189001-189912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
5,IITM-ESM,ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_190001-190912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_190001-190912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_190001-190912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
6,IITM-ESM,ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_191001-191912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_191001-191912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_191001-191912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
7,IITM-ESM,ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_192001-192912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_192001-192912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_192001-192912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
8,IITM-ESM,ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_193001-193912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_193001-193912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_193001-193912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
9,IITM-ESM,ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_194001-194912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_194001-194912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CCCR-IITM/IITM-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191223/ps_Amon_IITM-ESM_abrupt-4xCO2_r1i1p1f1_gn_194001-194912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
