,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,IPSL-CM5A2-INCA,tas_day_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201218/tas_day_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201218/tas_day_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,IPSL-CM5A2-INCA,hurs_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/day/hurs/gr/v20210216/hurs_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/day/hurs/gr/v20210216/hurs_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
2,IPSL-CM5A2-INCA,huss_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/day/huss/gr/v20210216/huss_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/day/huss/gr/v20210216/huss_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
3,IPSL-CM5A2-INCA,tas_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/day/tas/gr/v20210216/tas_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/day/tas/gr/v20210216/tas_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True
4,IPSL-CM5A2-INCA,huss_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/day/huss/gr/v20210216/huss_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/day/huss/gr/v20210216/huss_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,False
5,IPSL-CM5A2-INCA,ps_CFday_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/CFday/ps/gr/v20201218/ps_CFday_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/CFday/ps/gr/v20201218/ps_CFday_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
6,IPSL-CM5A2-INCA,tas_day_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201218/tas_day_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20201218/tas_day_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,False
7,IPSL-CM5A2-INCA,hurs_day_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/day/hurs/gr/v20201218/hurs_day_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/day/hurs/gr/v20201218/hurs_day_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,hurs,day,True
8,IPSL-CM5A2-INCA,ps_CFday_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/CFday/ps/gr/v20210216/ps_CFday_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/CFday/ps/gr/v20210216/ps_CFday_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
9,IPSL-CM5A2-INCA,tas_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/day/tas/gr/v20210216/tas_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/day/tas/gr/v20210216/tas_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,False
10,IPSL-CM5A2-INCA,hurs_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/day/hurs/gr/v20210216/hurs_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/day/hurs/gr/v20210216/hurs_day_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_18500101-20991231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
11,IPSL-CM5A2-INCA,ps_CFday_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/CFday/ps/gr/v20201218/ps_CFday_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/CFday/ps/gr/v20201218/ps_CFday_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
12,IPSL-CM5A2-INCA,hurs_day_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/day/hurs/gr/v20201218/hurs_day_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/day/hurs/gr/v20201218/hurs_day_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_18500101-19991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,hurs,day,False
