,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,IPSL-CM5A2-INCA,ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Amon/ps/gr/v20210216/ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Amon/ps/gr/v20210216/ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
1,IPSL-CM5A2-INCA,ps_Amon_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_185001-199912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20201218/ps_Amon_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_185001-199912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20201218/ps_Amon_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_185001-199912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
2,IPSL-CM5A2-INCA,ps_Amon_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_185001-199912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20201218/ps_Amon_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_185001-199912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20201218/ps_Amon_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_185001-199912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
3,IPSL-CM5A2-INCA,ps_AERmon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/AERmon/ps/gr/v20210216/ps_AERmon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/AERmon/ps/gr/v20210216/ps_AERmon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
4,IPSL-CM5A2-INCA,ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Amon/ps/gr/v20210216/ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Amon/ps/gr/v20210216/ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
5,IPSL-CM5A2-INCA,ps_Emon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Emon/ps/gr/v20210216/ps_Emon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Emon/ps/gr/v20210216/ps_Emon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
6,IPSL-CM5A2-INCA,ps_Amon_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_185001-199912.nc,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20201218/ps_Amon_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_185001-199912.nc,http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20201218/ps_Amon_IPSL-CM5A2-INCA_abrupt-4xCO2_r1i1p1f1_gr_185001-199912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
7,IPSL-CM5A2-INCA,ps_AERmon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/AERmon/ps/gr/v20210216/ps_AERmon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/AERmon/ps/gr/v20210216/ps_AERmon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
8,IPSL-CM5A2-INCA,ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Amon/ps/gr/v20210216/ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Amon/ps/gr/v20210216/ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
9,IPSL-CM5A2-INCA,ps_Emon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Emon/ps/gr/v20210216/ps_Emon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Emon/ps/gr/v20210216/ps_Emon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
