,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,IPSL-CM6A-LR,tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r10i1p1f1_gr_18501001-18550930.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r10i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r10i1p1f1_gr_18501001-18550930.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r10i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r10i1p1f1_gr_18501001-18550930.nc,10,1,1,1,r10i1p1f1,abrupt-4xCO2,tas,day,True
1,IPSL-CM6A-LR,tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r11i1p1f1_gr_18501101-18551031.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r11i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r11i1p1f1_gr_18501101-18551031.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r11i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r11i1p1f1_gr_18501101-18551031.nc,11,1,1,1,r11i1p1f1,abrupt-4xCO2,tas,day,True
2,IPSL-CM6A-LR,tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r12i1p1f1_gr_18501201-18551130.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r12i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r12i1p1f1_gr_18501201-18551130.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r12i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r12i1p1f1_gr_18501201-18551130.nc,12,1,1,1,r12i1p1f1,abrupt-4xCO2,tas,day,True
3,IPSL-CM6A-LR,tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r1i1p1f1_gr_18500101-21491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r1i1p1f1_gr_18500101-21491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r1i1p1f1_gr_18500101-21491231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,IPSL-CM6A-LR,tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r1i1p1f1_gr_21500101-24491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r1i1p1f1_gr_21500101-24491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r1i1p1f1_gr_21500101-24491231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,IPSL-CM6A-LR,tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r1i1p1f1_gr_24500101-27491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r1i1p1f1_gr_24500101-27491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r1i1p1f1_gr_24500101-27491231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,IPSL-CM6A-LR,tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r2i1p1f1_gr_18500201-18550131.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r2i1p1f1_gr_18500201-18550131.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r2i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r2i1p1f1_gr_18500201-18550131.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True
7,IPSL-CM6A-LR,tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r3i1p1f1_gr_18500301-18550228.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r3i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r3i1p1f1_gr_18500301-18550228.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r3i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r3i1p1f1_gr_18500301-18550228.nc,3,1,1,1,r3i1p1f1,abrupt-4xCO2,tas,day,True
8,IPSL-CM6A-LR,tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r4i1p1f1_gr_18500401-18550331.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r4i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r4i1p1f1_gr_18500401-18550331.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r4i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r4i1p1f1_gr_18500401-18550331.nc,4,1,1,1,r4i1p1f1,abrupt-4xCO2,tas,day,True
9,IPSL-CM6A-LR,tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r5i1p1f1_gr_18500501-18550430.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r5i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r5i1p1f1_gr_18500501-18550430.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2/r5i1p1f1/day/tas/gr/v20190614/tas_day_IPSL-CM6A-LR_abrupt-4xCO2_r5i1p1f1_gr_18500501-18550430.nc,5,1,1,1,r5i1p1f1,abrupt-4xCO2,tas,day,True
