,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,KACE-1-0-G,hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/hurs/gr/v20200108/hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/hurs/gr/v20200108/hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
1,KACE-1-0-G,hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/hurs/gr/v20200108/hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/hurs/gr/v20200108/hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
2,KACE-1-0-G,hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/hurs/gr/v20200108/hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/hurs/gr/v20200108/hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
3,KACE-1-0-G,hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_23000101-23991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/hurs/gr/v20200108/hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_23000101-23991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/hurs/gr/v20200108/hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_23000101-23991230.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
4,KACE-1-0-G,hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_24000101-24491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/hurs/gr/v20200108/hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_24000101-24491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/hurs/gr/v20200108/hurs_day_KACE-1-0-G_piControl_r1i1p1f1_gr_24000101-24491230.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
5,KACE-1-0-G,huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
6,KACE-1-0-G,huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
7,KACE-1-0-G,huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
8,KACE-1-0-G,huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_23000101-23991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_23000101-23991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_23000101-23991230.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
9,KACE-1-0-G,tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True
10,KACE-1-0-G,tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True
11,KACE-1-0-G,tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True
