,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,KIOST-ESM,tas_day_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_18500101-20001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20191202/tas_day_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_18500101-20001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20191202/tas_day_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_18500101-20001231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,KIOST-ESM,hurs_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/hurs/gr1/v20191202/hurs_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/hurs/gr1/v20191202/hurs_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
2,KIOST-ESM,hurs_day_KIOST-ESM_piControl_r1i1p1f1_gr1_31890101-33381231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/hurs/gr1/v20210322/hurs_day_KIOST-ESM_piControl_r1i1p1f1_gr1_31890101-33381231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/hurs/gr1/v20210322/hurs_day_KIOST-ESM_piControl_r1i1p1f1_gr1_31890101-33381231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
3,KIOST-ESM,huss_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/huss/gr1/v20191202/huss_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/huss/gr1/v20191202/huss_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
4,KIOST-ESM,huss_day_KIOST-ESM_piControl_r1i1p1f1_gr1_31890101-33381231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/huss/gr1/v20210322/huss_day_KIOST-ESM_piControl_r1i1p1f1_gr1_31890101-33381231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/huss/gr1/v20210322/huss_day_KIOST-ESM_piControl_r1i1p1f1_gr1_31890101-33381231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
5,KIOST-ESM,tas_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/tas/gr1/v20191202/tas_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/tas/gr1/v20191202/tas_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True
6,KIOST-ESM,tas_day_KIOST-ESM_piControl_r1i1p1f1_gr1_31890101-33381231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/tas/gr1/v20210322/tas_day_KIOST-ESM_piControl_r1i1p1f1_gr1_31890101-33381231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/tas/gr1/v20210322/tas_day_KIOST-ESM_piControl_r1i1p1f1_gr1_31890101-33381231.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True
7,KIOST-ESM,hurs_day_KIOST-ESM_piControl_r1i1p1f1_gr1_31890101-33381231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/hurs/gr1/v20210322/hurs_day_KIOST-ESM_piControl_r1i1p1f1_gr1_31890101-33381231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/hurs/gr1/v20210322/hurs_day_KIOST-ESM_piControl_r1i1p1f1_gr1_31890101-33381231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
8,KIOST-ESM,huss_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/huss/gr1/v20191202/huss_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/huss/gr1/v20191202/huss_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,False
9,KIOST-ESM,hurs_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/hurs/gr1/v20191202/hurs_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/day/hurs/gr1/v20191202/hurs_day_KIOST-ESM_piControl_r1i1p1f1_gr1_26890101-31881231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
