,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,KIOST-ESM,ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_268901-318812.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20191106/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_268901-318812.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20191106/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_268901-318812.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
1,KIOST-ESM,ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_318901-333812.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20210329/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_318901-333812.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20210329/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_318901-333812.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
2,KIOST-ESM,ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_268901-318812.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20191106/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_268901-318812.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20191106/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_268901-318812.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
3,KIOST-ESM,ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_318901-333812.nc,http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20210329/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_318901-333812.nc,http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20210329/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_318901-333812.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
4,KIOST-ESM,ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_268901-318812.nc,http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20191106/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_268901-318812.nc,http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20191106/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_268901-318812.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
5,KIOST-ESM,ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_318901-333812.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20210329/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_318901-333812.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20210329/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_318901-333812.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
6,KIOST-ESM,ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr1/v20210601/ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr1/v20210601/ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
7,KIOST-ESM,ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr1/v20210601/ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr1/v20210601/ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
8,KIOST-ESM,ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr1/v20191106/ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr1/v20191106/ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
9,KIOST-ESM,ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr1/v20210601/ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr1/v20210601/ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
10,KIOST-ESM,ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr1/v20191106/ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr1/v20191106/ps_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
11,KIOST-ESM,ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_268901-318812.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20191106/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_268901-318812.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/KIOST/KIOST-ESM/piControl/r1i1p1f1/Amon/ps/gr1/v20191106/ps_Amon_KIOST-ESM_piControl_r1i1p1f1_gr1_268901-318812.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
