,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,MIROC-ES2H,tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18500101-18501231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18500101-18501231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18500101-18501231.nc,1,1,4,2,r1i1p4f2,piControl,tas,day,True
1,MIROC-ES2H,tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18510101-18511231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18510101-18511231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18510101-18511231.nc,1,1,4,2,r1i1p4f2,piControl,tas,day,True
2,MIROC-ES2H,tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18520101-18521231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18520101-18521231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18520101-18521231.nc,1,1,4,2,r1i1p4f2,piControl,tas,day,True
3,MIROC-ES2H,tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18530101-18531231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18530101-18531231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18530101-18531231.nc,1,1,4,2,r1i1p4f2,piControl,tas,day,True
4,MIROC-ES2H,tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18540101-18541231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18540101-18541231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18540101-18541231.nc,1,1,4,2,r1i1p4f2,piControl,tas,day,True
5,MIROC-ES2H,tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18550101-18551231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18550101-18551231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18550101-18551231.nc,1,1,4,2,r1i1p4f2,piControl,tas,day,True
6,MIROC-ES2H,tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18560101-18561231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18560101-18561231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18560101-18561231.nc,1,1,4,2,r1i1p4f2,piControl,tas,day,True
7,MIROC-ES2H,tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18570101-18571231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18570101-18571231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18570101-18571231.nc,1,1,4,2,r1i1p4f2,piControl,tas,day,True
8,MIROC-ES2H,tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18580101-18581231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18580101-18581231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18580101-18581231.nc,1,1,4,2,r1i1p4f2,piControl,tas,day,True
9,MIROC-ES2H,tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18590101-18591231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18590101-18591231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_piControl_r1i1p4f2_gn_18590101-18591231.nc,1,1,4,2,r1i1p4f2,piControl,tas,day,True
