,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,MIROC-ES2H,ps_Amon_MIROC-ES2H_piControl_r1i1p3f2_gn_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p3f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_piControl_r1i1p3f2_gn_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p3f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_piControl_r1i1p3f2_gn_185001-185012.nc,1,1,3,2,r1i1p3f2,piControl,ps,day,False
1,MIROC-ES2H,ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p3f2_gn_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p3f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p3f2_gn_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p3f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p3f2_gn_185001-185012.nc,1,1,3,2,r1i1p3f2,abrupt-4xCO2,ps,day,False
2,MIROC-ES2H,ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p2f2_gn_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p2f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p2f2_gn_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p2f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p2f2_gn_185001-185012.nc,1,1,2,2,r1i1p2f2,abrupt-4xCO2,ps,day,False
3,MIROC-ES2H,ps_Amon_MIROC-ES2H_piControl_r1i1p1f2_gn_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p1f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_piControl_r1i1p1f2_gn_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p1f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_piControl_r1i1p1f2_gn_185001-185012.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
4,MIROC-ES2H,ps_Amon_MIROC-ES2H_piControl_r1i1p2f2_gn_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p2f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_piControl_r1i1p2f2_gn_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p2f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_piControl_r1i1p2f2_gn_185001-185012.nc,1,1,2,2,r1i1p2f2,piControl,ps,day,False
5,MIROC-ES2H,ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p1f2_gn_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p1f2_gn_185001-185012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p1f2_gn_185001-185012.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,False
6,MIROC-ES2H,ps_Amon_MIROC-ES2H_abrupt-4xCO2_r2i1p4f2_gn_185001-198912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r2i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r2i1p4f2_gn_185001-198912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r2i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r2i1p4f2_gn_185001-198912.nc,2,1,4,2,r2i1p4f2,abrupt-4xCO2,ps,day,False
7,MIROC-ES2H,ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p4f2_gn_185001-198912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p4f2_gn_185001-198912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p4f2_gn_185001-198912.nc,1,1,4,2,r1i1p4f2,abrupt-4xCO2,ps,day,False
8,MIROC-ES2H,ps_Amon_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_185001-198912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_185001-198912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_185001-198912.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,ps,day,False
9,MIROC-ES2H,ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_185001-198912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_185001-198912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_185001-198912.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,ps,day,False
10,MIROC-ES2H,ps_Amon_MIROC-ES2H_piControl_r1i1p4f2_gn_185001-204912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_piControl_r1i1p4f2_gn_185001-204912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_piControl_r1i1p4f2_gn_185001-204912.nc,1,1,4,2,r1i1p4f2,piControl,ps,day,False
11,MIROC-ES2H,ps_Amon_MIROC-ES2H_piControl_r1i1p4f2_gn_205001-224912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_piControl_r1i1p4f2_gn_205001-224912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_piControl_r1i1p4f2_gn_205001-224912.nc,1,1,4,2,r1i1p4f2,piControl,ps,day,False
12,MIROC-ES2H,ps_Amon_MIROC-ES2H_piControl_r1i1p4f2_gn_225001-226912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_piControl_r1i1p4f2_gn_225001-226912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_piControl_r1i1p4f2_gn_225001-226912.nc,1,1,4,2,r1i1p4f2,piControl,ps,day,False
13,MIROC-ES2H,ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r2i1p4f2_gn_185001-198912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r2i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r2i1p4f2_gn_185001-198912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r2i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r2i1p4f2_gn_185001-198912.nc,2,1,4,2,r2i1p4f2,abrupt-4xCO2,ps,day,False
14,MIROC-ES2H,ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_185001-204912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_185001-204912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_185001-204912.nc,1,1,4,2,r1i1p4f2,piControl,ps,day,False
15,MIROC-ES2H,ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_205001-224912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_205001-224912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_205001-224912.nc,1,1,4,2,r1i1p4f2,piControl,ps,day,False
16,MIROC-ES2H,ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_225001-226912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_225001-226912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_225001-226912.nc,1,1,4,2,r1i1p4f2,piControl,ps,day,False
17,MIROC-ES2H,ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r2i1p4f2_gn_185001-198912.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r2i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r2i1p4f2_gn_185001-198912.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r2i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r2i1p4f2_gn_185001-198912.nc,2,1,4,2,r2i1p4f2,abrupt-4xCO2,ps,day,True
18,MIROC-ES2H,ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r1i1p4f2_gn_185001-198912.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r1i1p4f2_gn_185001-198912.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r1i1p4f2_gn_185001-198912.nc,1,1,4,2,r1i1p4f2,abrupt-4xCO2,ps,day,True
19,MIROC-ES2H,ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p4f2_gn_185001-198912.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p4f2_gn_185001-198912.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p4f2_gn_185001-198912.nc,1,1,4,2,r1i1p4f2,abrupt-4xCO2,ps,day,True
20,MIROC-ES2H,ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p3f2_gn_185001-185012.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p3f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p3f2_gn_185001-185012.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p3f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p3f2_gn_185001-185012.nc,1,1,3,2,r1i1p3f2,abrupt-4xCO2,ps,day,True
21,MIROC-ES2H,ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p1f2_gn_185001-185012.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p1f2_gn_185001-185012.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p1f2_gn_185001-185012.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,True
22,MIROC-ES2H,ps_Amon_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_185001-198912.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_185001-198912.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_185001-198912.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,ps,day,True
23,MIROC-ES2H,ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r1i1p4f2_gn_185001-198912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r1i1p4f2_gn_185001-198912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r1i1p4f2_gn_185001-198912.nc,1,1,4,2,r1i1p4f2,abrupt-4xCO2,ps,day,False
24,MIROC-ES2H,ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_185001-198912.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_185001-198912.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_185001-198912.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,ps,day,True
25,MIROC-ES2H,ps_Amon_MIROC-ES2H_abrupt-4xCO2_r2i1p4f2_gn_185001-198912.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r2i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r2i1p4f2_gn_185001-198912.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r2i1p4f2/Amon/ps/gn/v20220322/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r2i1p4f2_gn_185001-198912.nc,2,1,4,2,r2i1p4f2,abrupt-4xCO2,ps,day,True
26,MIROC-ES2H,ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p2f2_gn_185001-185012.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p2f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p2f2_gn_185001-185012.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r1i1p2f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_abrupt-4xCO2_r1i1p2f2_gn_185001-185012.nc,1,1,2,2,r1i1p2f2,abrupt-4xCO2,ps,day,True
27,MIROC-ES2H,ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_185001-204912.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_185001-204912.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_185001-204912.nc,1,1,4,2,r1i1p4f2,piControl,ps,day,True
28,MIROC-ES2H,ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_205001-224912.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_205001-224912.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_205001-224912.nc,1,1,4,2,r1i1p4f2,piControl,ps,day,True
29,MIROC-ES2H,ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_225001-226912.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_225001-226912.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p4f2/AERmon/ps/gn/v20220322/ps_AERmon_MIROC-ES2H_piControl_r1i1p4f2_gn_225001-226912.nc,1,1,4,2,r1i1p4f2,piControl,ps,day,True
30,MIROC-ES2H,ps_Amon_MIROC-ES2H_piControl_r1i1p3f2_gn_185001-185012.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p3f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_piControl_r1i1p3f2_gn_185001-185012.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/piControl/r1i1p3f2/Amon/ps/gn/v20210125/ps_Amon_MIROC-ES2H_piControl_r1i1p3f2_gn_185001-185012.nc,1,1,3,2,r1i1p3f2,piControl,ps,day,True
