,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,MIROC-ES2L,tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18500101-18501231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18500101-18501231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18500101-18501231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,day,True
1,MIROC-ES2L,tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18510101-18511231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18510101-18511231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18510101-18511231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,day,True
2,MIROC-ES2L,tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18520101-18521231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18520101-18521231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18520101-18521231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,day,True
3,MIROC-ES2L,tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18530101-18531231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18530101-18531231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18530101-18531231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,day,True
4,MIROC-ES2L,tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18540101-18541231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18540101-18541231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18540101-18541231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,day,True
5,MIROC-ES2L,tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18550101-18551231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18550101-18551231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18550101-18551231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,day,True
6,MIROC-ES2L,tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18560101-18561231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18560101-18561231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18560101-18561231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,day,True
7,MIROC-ES2L,tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18570101-18571231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18570101-18571231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18570101-18571231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,day,True
8,MIROC-ES2L,tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18580101-18581231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18580101-18581231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18580101-18581231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,day,True
9,MIROC-ES2L,tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18590101-18591231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18590101-18591231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/day/tas/gn/v20191129/tas_day_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_18590101-18591231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,day,True
