,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,MIROC-ES2L,ps_Amon_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_185001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,True
1,MIROC-ES2L,ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_185001-204912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_185001-204912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_185001-204912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,True
2,MIROC-ES2L,ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_205001-224912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_205001-224912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_205001-224912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,True
3,MIROC-ES2L,ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_225001-234912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_225001-234912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_225001-234912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,True
4,MIROC-ES2L,ps_Amon_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_185001-199912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_185001-199912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_185001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,False
5,MIROC-ES2L,ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_185001-204912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_185001-204912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_185001-204912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
6,MIROC-ES2L,ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_205001-224912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_205001-224912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_205001-224912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
7,MIROC-ES2L,ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_225001-234912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_225001-234912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_225001-234912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
8,MIROC-ES2L,ps_Amon_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_185001-199912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_185001-199912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2L/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_gn_185001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,False
9,MIROC-ES2L,ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_185001-204912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_185001-204912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Amon/ps/gn/v20190823/ps_Amon_MIROC-ES2L_piControl_r1i1p1f2_gn_185001-204912.nc,1,1,1,2,r1i1p1f2,piControl,ps,day,False
