,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,MIROC6,tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32000101-32091231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32000101-32091231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32000101-32091231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,MIROC6,tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32100101-32191231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32100101-32191231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32100101-32191231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,MIROC6,tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32200101-32291231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32200101-32291231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32200101-32291231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,MIROC6,tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32300101-32391231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32300101-32391231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32300101-32391231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,MIROC6,tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32400101-32491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32400101-32491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32400101-32491231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,MIROC6,tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32500101-32591231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32500101-32591231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32500101-32591231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,MIROC6,tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32600101-32691231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32600101-32691231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32600101-32691231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,MIROC6,tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32700101-32791231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32700101-32791231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32700101-32791231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,MIROC6,tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32800101-32891231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32800101-32891231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32800101-32891231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
9,MIROC6,tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32900101-32991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32900101-32991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191016/tas_day_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_32900101-32991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
