,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,MIROC6,ps_Amon_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_320001-329912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190705/ps_Amon_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_320001-329912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190705/ps_Amon_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_320001-329912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
1,MIROC6,ps_Amon_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_330001-334912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190705/ps_Amon_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_330001-334912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190705/ps_Amon_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_330001-334912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
2,MIROC6,ps_Amon_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_335001-344912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190705/ps_Amon_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_335001-344912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190705/ps_Amon_MIROC6_abrupt-4xCO2_r1i1p1f1_gn_335001-344912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
3,MIROC6,ps_Amon_MIROC6_piControl_r1i1p1f1_gn_320001-329912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_320001-329912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_320001-329912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
4,MIROC6,ps_Amon_MIROC6_piControl_r1i1p1f1_gn_330001-339912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_330001-339912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_330001-339912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
5,MIROC6,ps_Amon_MIROC6_piControl_r1i1p1f1_gn_340001-349912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_340001-349912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_340001-349912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
6,MIROC6,ps_Amon_MIROC6_piControl_r1i1p1f1_gn_350001-359912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_350001-359912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_350001-359912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
7,MIROC6,ps_Amon_MIROC6_piControl_r1i1p1f1_gn_360001-369912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_360001-369912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_360001-369912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
8,MIROC6,ps_Amon_MIROC6_piControl_r1i1p1f1_gn_370001-379912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_370001-379912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_370001-379912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
9,MIROC6,ps_Amon_MIROC6_piControl_r1i1p1f1_gn_380001-389912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_380001-389912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_piControl_r1i1p1f1_gn_380001-389912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
