,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,MPI-ESM1-2-LR,tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_18500101-18691231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_18500101-18691231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_18500101-18691231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,MPI-ESM1-2-LR,tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_18700101-18891231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_18700101-18891231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_18700101-18891231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,MPI-ESM1-2-LR,tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_18900101-19091231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_18900101-19091231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_18900101-19091231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,MPI-ESM1-2-LR,tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19100101-19291231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19100101-19291231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19100101-19291231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,MPI-ESM1-2-LR,tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19300101-19491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19300101-19491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19300101-19491231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,MPI-ESM1-2-LR,tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19500101-19691231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19500101-19691231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19500101-19691231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,MPI-ESM1-2-LR,tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19700101-19891231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19700101-19891231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19700101-19891231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,MPI-ESM1-2-LR,tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19900101-20091231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19900101-20091231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_19900101-20091231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,MPI-ESM1-2-LR,tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_20100101-20141231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_20100101-20141231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190710/tas_day_MPI-ESM1-2-LR_abrupt-4xCO2_r1i1p1f1_gn_20100101-20141231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
9,MPI-ESM1-2-LR,hurs_day_MPI-ESM1-2-LR_piControl_r1i1p1f1_gn_18500101-18691231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/piControl/r1i1p1f1/day/hurs/gn/v20190710/hurs_day_MPI-ESM1-2-LR_piControl_r1i1p1f1_gn_18500101-18691231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/piControl/r1i1p1f1/day/hurs/gn/v20190710/hurs_day_MPI-ESM1-2-LR_piControl_r1i1p1f1_gn_18500101-18691231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
