,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,MRI-ESM2-0,ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r10i1p1f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r10i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r10i1p1f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r10i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r10i1p1f1_gn_185001-200012.nc,10,1,1,1,r10i1p1f1,abrupt-4xCO2,ps,day,True
1,MRI-ESM2-0,ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r11i1p1f1_gn_185001-185512.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r11i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r11i1p1f1_gn_185001-185512.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r11i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r11i1p1f1_gn_185001-185512.nc,11,1,1,1,r11i1p1f1,abrupt-4xCO2,ps,day,True
2,MRI-ESM2-0,ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r12i1p1f1_gn_185001-185512.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r12i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r12i1p1f1_gn_185001-185512.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r12i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r12i1p1f1_gn_185001-185512.nc,12,1,1,1,r12i1p1f1,abrupt-4xCO2,ps,day,True
3,MRI-ESM2-0,ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r13i1p1f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r13i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r13i1p1f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r13i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r13i1p1f1_gn_185001-200012.nc,13,1,1,1,r13i1p1f1,abrupt-4xCO2,ps,day,True
4,MRI-ESM2-0,ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
5,MRI-ESM2-0,ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r2i1p1f1_gn_185001-185512.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r2i1p1f1_gn_185001-185512.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r2i1p1f1_gn_185001-185512.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,ps,day,True
6,MRI-ESM2-0,ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r3i1p1f1_gn_185001-185512.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r3i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r3i1p1f1_gn_185001-185512.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r3i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r3i1p1f1_gn_185001-185512.nc,3,1,1,1,r3i1p1f1,abrupt-4xCO2,ps,day,True
7,MRI-ESM2-0,ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r4i1p1f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r4i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r4i1p1f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r4i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r4i1p1f1_gn_185001-200012.nc,4,1,1,1,r4i1p1f1,abrupt-4xCO2,ps,day,True
8,MRI-ESM2-0,ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r5i1p1f1_gn_185001-185512.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r5i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r5i1p1f1_gn_185001-185512.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r5i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r5i1p1f1_gn_185001-185512.nc,5,1,1,1,r5i1p1f1,abrupt-4xCO2,ps,day,True
9,MRI-ESM2-0,ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r6i1p1f1_gn_185001-185512.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r6i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r6i1p1f1_gn_185001-185512.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/abrupt-4xCO2/r6i1p1f1/Amon/ps/gn/v20190308/ps_Amon_MRI-ESM2-0_abrupt-4xCO2_r6i1p1f1_gn_185001-185512.nc,6,1,1,1,r6i1p1f1,abrupt-4xCO2,ps,day,True
