,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,NorESM2-LM,hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16000101-16091231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16000101-16091231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16000101-16091231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
1,NorESM2-LM,hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16100101-16191231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16100101-16191231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16100101-16191231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
2,NorESM2-LM,hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16200101-16291231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16200101-16291231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16200101-16291231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
3,NorESM2-LM,hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16300101-16391231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16300101-16391231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16300101-16391231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
4,NorESM2-LM,hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16400101-16491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16400101-16491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16400101-16491231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
5,NorESM2-LM,hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16500101-16591231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16500101-16591231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16500101-16591231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
6,NorESM2-LM,hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16600101-16691231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16600101-16691231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16600101-16691231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
7,NorESM2-LM,hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16700101-16791231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16700101-16791231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16700101-16791231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
8,NorESM2-LM,hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16800101-16891231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16800101-16891231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16800101-16891231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
9,NorESM2-LM,hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16900101-16991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16900101-16991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/hurs/gn/v20190920/hurs_day_NorESM2-LM_piControl_r1i1p1f1_gn_16900101-16991231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,False
