,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,NorESM2-LM,ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_000101-001012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_000101-001012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_000101-001012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
1,NorESM2-LM,ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_001101-002012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_001101-002012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_001101-002012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
2,NorESM2-LM,ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_002101-003012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_002101-003012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_002101-003012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
3,NorESM2-LM,ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_003101-004012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_003101-004012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_003101-004012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
4,NorESM2-LM,ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_004101-005012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_004101-005012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_004101-005012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
5,NorESM2-LM,ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_005101-006012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_005101-006012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_005101-006012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
6,NorESM2-LM,ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_006101-007012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_006101-007012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_006101-007012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
7,NorESM2-LM,ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_007101-008012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_007101-008012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_007101-008012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
8,NorESM2-LM,ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_008101-009012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_008101-009012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_008101-009012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
9,NorESM2-LM,ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_009101-010012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_009101-010012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NCC/NorESM2-LM/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190909/ps_Emon_NorESM2-LM_abrupt-4xCO2_r1i1p1f1_gn_009101-010012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
