,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,NorESM2-MM,tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00010101-00101231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00010101-00101231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00010101-00101231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,NorESM2-MM,tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00110101-00201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00110101-00201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00110101-00201231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,NorESM2-MM,tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00210101-00301231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00210101-00301231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00210101-00301231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,NorESM2-MM,tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00510101-00601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00510101-00601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00510101-00601231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,NorESM2-MM,tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00610101-00701231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00610101-00701231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00610101-00701231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,NorESM2-MM,tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00810101-00901231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00810101-00901231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00810101-00901231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,NorESM2-MM,tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00910101-01001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00910101-01001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_00910101-01001231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,NorESM2-MM,tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_01210101-01301231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_01210101-01301231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_01210101-01301231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,NorESM2-MM,hurs_day_NorESM2-MM_piControl_r1i1p1f1_gn_12000101-12091231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/piControl/r1i1p1f1/day/hurs/gn/v20191108/hurs_day_NorESM2-MM_piControl_r1i1p1f1_gn_12000101-12091231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/piControl/r1i1p1f1/day/hurs/gn/v20191108/hurs_day_NorESM2-MM_piControl_r1i1p1f1_gn_12000101-12091231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
9,NorESM2-MM,hurs_day_NorESM2-MM_piControl_r1i1p1f1_gn_12100101-12191231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/piControl/r1i1p1f1/day/hurs/gn/v20191108/hurs_day_NorESM2-MM_piControl_r1i1p1f1_gn_12100101-12191231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/piControl/r1i1p1f1/day/hurs/gn/v20191108/hurs_day_NorESM2-MM_piControl_r1i1p1f1_gn_12100101-12191231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
