,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,NorESM2-MM,ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_000101-001012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_000101-001012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_000101-001012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
1,NorESM2-MM,ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_001101-002012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_001101-002012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_001101-002012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
2,NorESM2-MM,ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_002101-003012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_002101-003012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_002101-003012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
3,NorESM2-MM,ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_003101-004012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_003101-004012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_003101-004012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
4,NorESM2-MM,ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_004101-005012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_004101-005012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_004101-005012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
5,NorESM2-MM,ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_005101-006012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_005101-006012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_005101-006012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
6,NorESM2-MM,ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_006101-007012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_006101-007012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_006101-007012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
7,NorESM2-MM,ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_007101-008012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_007101-008012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_007101-008012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
8,NorESM2-MM,ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_008101-009012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_008101-009012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_008101-009012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
9,NorESM2-MM,ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_009101-010012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_009101-010012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCC/NorESM2-MM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-MM_abrupt-4xCO2_r1i1p1f1_gn_009101-010012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
