,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_185001-185912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_185001-185912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_185001-185912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
1,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_186001-186912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_186001-186912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_186001-186912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
2,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_187001-187912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_187001-187912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_187001-187912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
3,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_188001-188912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_188001-188912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_188001-188912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
4,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_189001-189912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_189001-189912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_189001-189912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
5,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_190001-190912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_190001-190912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_190001-190912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
6,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_191001-191912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_191001-191912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_191001-191912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
7,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_192001-192912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_192001-192912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_192001-192912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
8,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_193001-193912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_193001-193912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_193001-193912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
9,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_194001-194912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_194001-194912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_194001-194912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
10,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_195001-195912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_195001-195912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_195001-195912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
11,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_196001-196912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_196001-196912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_196001-196912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
12,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_197001-197912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_197001-197912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_197001-197912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
13,SAM0-UNICON,ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_198001-198912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_198001-198912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190323/ps_Amon_SAM0-UNICON_abrupt-4xCO2_r1i1p1f1_gn_198001-198912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
