,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,TaiESM1,ps_Amon_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20200310/ps_Amon_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20200310/ps_Amon_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
1,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
2,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
3,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
4,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
5,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_060101-070012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_060101-070012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_060101-070012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
13,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,http://esgf.rcec.sinica.edu.tw/thredds/fileServer/my_cmip6_dataroot/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,http://esgf.rcec.sinica.edu.tw/thredds/dodsC/my_cmip6_dataroot/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
14,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,http://esgf.rcec.sinica.edu.tw/thredds/fileServer/my_cmip6_dataroot/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,http://esgf.rcec.sinica.edu.tw/thredds/dodsC/my_cmip6_dataroot/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
15,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,http://esgf.rcec.sinica.edu.tw/thredds/fileServer/my_cmip6_dataroot/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,http://esgf.rcec.sinica.edu.tw/thredds/dodsC/my_cmip6_dataroot/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
16,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,http://esgf.rcec.sinica.edu.tw/thredds/fileServer/my_cmip6_dataroot/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,http://esgf.rcec.sinica.edu.tw/thredds/dodsC/my_cmip6_dataroot/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
17,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_060101-070012.nc,http://esgf.rcec.sinica.edu.tw/thredds/fileServer/my_cmip6_dataroot/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_060101-070012.nc,http://esgf.rcec.sinica.edu.tw/thredds/dodsC/my_cmip6_dataroot/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_060101-070012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
18,TaiESM1,ps_Amon_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20200310/ps_Amon_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20200310/ps_Amon_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
19,TaiESM1,ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/AERmon/ps/gn/v20200303/ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/AERmon/ps/gn/v20200303/ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
20,TaiESM1,ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/AERmon/ps/gn/v20200303/ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/AERmon/ps/gn/v20200303/ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
21,TaiESM1,ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/AERmon/ps/gn/v20200303/ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/AERmon/ps/gn/v20200303/ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
22,TaiESM1,ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/AERmon/ps/gn/v20200303/ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/AERmon/ps/gn/v20200303/ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
23,TaiESM1,ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_060101-070012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/AERmon/ps/gn/v20200303/ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_060101-070012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/AERmon/ps/gn/v20200303/ps_AERmon_TaiESM1_piControl_r1i1p1f1_gn_060101-070012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
24,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
25,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
26,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
27,TaiESM1,ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/ps/gn/v20200211/ps_Amon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
