,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,UKESM1-0-LL,hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_19600101-20491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_19600101-20491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_19600101-20491230.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
1,UKESM1-0-LL,hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_20500101-21491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_20500101-21491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_20500101-21491230.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
2,UKESM1-0-LL,hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_21500101-22491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_21500101-22491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_21500101-22491230.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
3,UKESM1-0-LL,hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_22500101-23491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_22500101-23491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_22500101-23491230.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
4,UKESM1-0-LL,hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_23500101-24491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_23500101-24491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_23500101-24491230.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
5,UKESM1-0-LL,hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_24500101-25491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_24500101-25491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_24500101-25491230.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
6,UKESM1-0-LL,hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_25500101-26491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_25500101-26491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_25500101-26491230.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
7,UKESM1-0-LL,hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_26500101-27491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_26500101-27491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_26500101-27491230.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
8,UKESM1-0-LL,hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_27500101-28491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_27500101-28491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_27500101-28491230.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
9,UKESM1-0-LL,hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_28500101-29491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_28500101-29491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_28500101-29491230.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
10,UKESM1-0-LL,hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_29500101-30491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_29500101-30491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_29500101-30491230.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
11,UKESM1-0-LL,hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_30500101-30591230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_30500101-30591230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/hurs/gn/v20190827/hurs_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_30500101-30591230.nc,1,1,1,2,r1i1p1f2,piControl,hurs,day,True
12,UKESM1-0-LL,huss_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_19600101-20491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/huss/gn/v20190827/huss_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_19600101-20491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/huss/gn/v20190827/huss_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_19600101-20491230.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
13,UKESM1-0-LL,huss_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_20500101-21491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/huss/gn/v20190827/huss_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_20500101-21491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/day/huss/gn/v20190827/huss_day_UKESM1-0-LL_piControl_r1i1p1f2_gn_20500101-21491230.nc,1,1,1,2,r1i1p1f2,piControl,huss,day,True
