model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking,start,stop,inspan
ACCESS-CM2,hurs_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/day/hurs/gn/v20191108/hurs_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/day/hurs/gn/v20191108/hurs_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,hurs,day,True,1050,1099,True
ACCESS-CM2,huss_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20191108/huss_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20191108/huss_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,day,True,1050,1099,True
ACCESS-CM2,tas_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191108/tas_day_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_10500101-10991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True,1050,1099,True
ACCESS-CM2,ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_gn_095001-109912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,mon,True,950,1099,True
ACCESS-CM2,hurs_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/day/hurs/gn/v20191112/hurs_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/day/hurs/gn/v20191112/hurs_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True,1400,1449,True
ACCESS-CM2,huss_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/day/huss/gn/v20191112/huss_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/day/huss/gn/v20191112/huss_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True,1400,1449,True
ACCESS-CM2,tas_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/day/tas/gn/v20191112/tas_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/day/tas/gn/v20191112/tas_day_ACCESS-CM2_piControl_r1i1p1f1_gn_14000101-14491231.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True,1400,1449,True
ACCESS-CM2,ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/ps/gn/v20191112/ps_Amon_ACCESS-CM2_piControl_r1i1p1f1_gn_095001-144912.nc,1,1,1,1,r1i1p1f1,piControl,ps,mon,True,950,1449,True
ACCESS-ESM1-5,hurs_day_ACCESS-ESM1-5_abrupt-4xCO2_r2i1p1f1_gn_10510101-11001231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r2i1p1f1/day/hurs/gn/v20200901/hurs_day_ACCESS-ESM1-5_abrupt-4xCO2_r2i1p1f1_gn_10510101-11001231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r2i1p1f1/day/hurs/gn/v20200901/hurs_day_ACCESS-ESM1-5_abrupt-4xCO2_r2i1p1f1_gn_10510101-11001231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,hurs,day,True,1051,1100,True
ACCESS-ESM1-5,tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r2i1p1f1_gn_10510101-11001231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r2i1p1f1/day/tas/gn/v20200901/tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r2i1p1f1_gn_10510101-11001231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r2i1p1f1/day/tas/gn/v20200901/tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r2i1p1f1_gn_10510101-11001231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,tas,day,True,1051,1100,True
