model,gamma,dT_O,dT_L_x
ACCESS-CM2,1.209808988452566,2.447876,2.9614623874173134
ACCESS-CM2,1.2059095958251234,2.447876,2.9519171577900196
ACCESS-CM2,1.196494844187561,2.447876,2.9288710132104696
ACCESS-CM2,1.1862057210371102,2.447876,2.903684515589437
ACCESS-CM2,1.1805638181557605,2.447876,2.88987383693185
ACCESS-CM2,1.176318607534205,2.447876,2.8794820877363994
ACCESS-CM2,1.1789958584906464,2.447876,2.8860356660986493
ACCESS-CM2,1.1942203128470432,2.447876,2.9233032425307686
ACCESS-CM2,1.225943146812349,2.447876,3.0009568064464256
ACCESS-CM2,1.2797972101776247,2.447876,3.132784875660763
ACCESS-CM2,1.3754501455695216,2.447876,3.366931400536138
ACCESS-CM2,1.55820914114549,2.447876,3.814302759590657
ACCESS-CM2,1.6917879682738004,2.447876,4.141287164626197
ACCESS-CM2,1.8579073960353887,2.447876,4.547926924977523
ACCESS-CM2,1.9800356249394275,2.447876,4.846881685434226
ACCESS-CM2,2.0392993632665313,2.447876,4.991951968155424
