model,percentile,gamma,dT_O,dT_L_x,q_L_x
ACCESS-CM2,1,1.2331634350461516,2.447876,3.018631176727033,0.011970960535109043
ACCESS-CM2,2,1.2291222901898142,2.447876,3.008738955220682,0.012030225247144699
ACCESS-CM2,5,1.218976554129966,2.447876,2.9839034514174445,0.012180747464299202
ACCESS-CM2,10,1.2072923751316087,2.447876,2.955302030067662,0.012357228435575962
ACCESS-CM2,15,1.200316085087429,2.447876,2.9382249370994753,0.012464238330721855
ACCESS-CM2,25,1.1936620397931992,2.447876,2.921936659320817,0.012567470781505108
ACCESS-CM2,35,1.1942324223667453,2.447876,2.923332885133419,0.01255857665091753
ACCESS-CM2,45,1.2072397974067723,2.447876,2.9551733263169,0.012358030304312706
ACCESS-CM2,55,1.2364669046057821,2.447876,3.0267176605787833,0.011922801844775677
ACCESS-CM2,65,1.2874390948260328,2.447876,3.15149126168637,0.01121104508638382
ACCESS-CM2,75,1.3790352557021726,2.447876,3.3757073055872113,0.010064258240163326
ACCESS-CM2,85,1.555576807871487,2.447876,3.8078591341452244,0.008234946988523006
ACCESS-CM2,90,1.6847727047046004,2.447876,4.124114669301478,0.007139166817069054
ACCESS-CM2,95,1.844947549593368,2.447876,4.516202827908415,0.005993715953081846
ACCESS-CM2,98,1.9616466702082445,2.447876,4.801867804482677,0.005276961717754602
ACCESS-CM2,99,2.0174907407944453,2.447876,4.938567164612944,0.004963306710124016
