model,percentile,gamma,dT_O,dT_L_x,q_L_x
ACCESS-CM2,1,1.2253948338284744,2.447876,2.9996146042527103,0.011970960535109043
ACCESS-CM2,2,1.221366394393128,2.447876,2.989753484041473,0.012030225247144699
ACCESS-CM2,5,1.2112529273962498,2.447876,2.964996970903022,0.012180747464299202
ACCESS-CM2,10,1.1996065674479344,2.447876,2.9364881258981796,0.012357228435575962
ACCESS-CM2,15,1.1926531933189093,2.447876,2.9194671282487183,0.012464238330721855
ACCESS-CM2,25,1.186021238966553,2.447876,2.9032329263564898,0.012567470781505108
ACCESS-CM2,35,1.1865897189768049,2.447876,2.904624494930065,0.01255857665091753
ACCESS-CM2,45,1.1995541614944762,2.447876,2.9363598426224526,0.012358030304312706
ACCESS-CM2,55,1.2286879797219585,2.447876,3.007675817049869,0.011922801844775677
ACCESS-CM2,65,1.2795080036140267,2.447876,3.132076933854689,0.01121104508638382
ACCESS-CM2,75,1.3708643767294775,2.447876,3.3557060070510465,0.010064258240163326
ACCESS-CM2,85,1.547065854446828,2.447876,3.7870253755198835,0.008234946988523006
ACCESS-CM2,90,1.676114860431077,2.447876,4.102921340092583,0.007139166817069054
ACCESS-CM2,95,1.8362274028874068,2.447876,4.494856990070414,0.005993715953081846
ACCESS-CM2,98,1.9529647402666306,2.447876,4.780615516544919,0.005276961717754602
ACCESS-CM2,99,2.0088520533204375,2.447876,4.917420728873819,0.004963306710124016
