model,gamma,dT_O,dT_L_x
ACCESS-ESM1-5,1.1175657547667313,2.1776428,2.433659019394338
ACCESS-ESM1-5,1.1131113417363114,2.1776428,2.4239588989304184
ACCESS-ESM1-5,1.1011930881263459,2.1776428,2.398005199768103
ACCESS-ESM1-5,1.0859708970673125,2.1776428,2.3648567050081746
ACCESS-ESM1-5,1.0751173524589595,2.1776428,2.3412215617373153
ACCESS-ESM1-5,1.062326517261684,2.1776428,2.313367691563982
ACCESS-ESM1-5,1.0575031762089595,2.1776428,2.302864177648572
ACCESS-ESM1-5,1.063492481200071,2.1776428,2.31590674453947
ACCESS-ESM1-5,1.0815849908410562,2.1776428,2.355305767893092
ACCESS-ESM1-5,1.1172614458382735,2.1776428,2.4329963432473063
ACCESS-ESM1-5,1.1862383953434184,2.1776428,2.5832035007031484
ACCESS-ESM1-5,1.3305020674824053,2.1776428,2.897358247638174
ACCESS-ESM1-5,1.4291179186103935,2.1776428,3.1121083458129095
ACCESS-ESM1-5,1.4983891954441124,2.1776428,3.262956443056664
ACCESS-ESM1-5,1.5463228163132143,2.1776428,3.367338747420194
ACCESS-ESM1-5,1.5776454005803704,2.1776428,3.4355481475269594
