model,percentile,gamma,dT_O,dT_L_x,q_L_x
ACCESS-ESM1-5,1,1.1381649794500956,2.1776428,2.478516772711649,0.013731490820646286
ACCESS-ESM1-5,2,1.1335328491317653,2.1776428,2.468429647475275,0.013812345452606678
ACCESS-ESM1-5,5,1.1211516560865147,2.1776428,2.441467831584875,0.014031740836799145
ACCESS-ESM1-5,10,1.1051674225019221,2.1776428,2.406659880405869,0.01432225201278925
ACCESS-ESM1-5,15,1.09346017696984,2.1776428,2.381165681465098,0.014540418051183224
ACCESS-ESM1-5,25,1.0786957501881842,2.1776428,2.349014033787898,0.014822307042777538
ACCESS-ESM1-5,35,1.0721359946429971,2.1776428,2.3347292293551614,0.0149500397965312
ACCESS-ESM1-5,45,1.0763633749943489,2.1776428,2.343934953740144,0.01486754510551691
ACCESS-ESM1-5,55,1.0925774646153978,2.1776428,2.379243449261976,0.014557057060301304
ACCESS-ESM1-5,65,1.1260021280893744,2.1776428,2.452030427018504,0.013945215381681919
ACCESS-ESM1-5,75,1.1918903093030875,2.1776428,2.595511350443642,0.012839621864259243
ACCESS-ESM1-5,85,1.3310418909013157,2.1776428,2.898533790219636,0.01086436491459608
ACCESS-ESM1-5,90,1.425706985435572,2.1776428,3.104680551743478,0.009740972891449928
ACCESS-ESM1-5,95,1.489507890298921,2.1776428,3.2436161328526354,0.009064395911991596
ACCESS-ESM1-5,98,1.5319124605177699,2.1776428,3.335958139876806,0.008645892143249512
ACCESS-ESM1-5,99,1.5598344245910944,2.1776428,3.39676220390294,0.008382746018469334
