model,percentile,gamma,dT_O,dT_L_x,q_L_x
ACCESS-ESM1-5,1,1.1298051351065999,2.1776428,2.4603120178679143,0.013731490820646286
ACCESS-ESM1-5,2,1.125192197326757,2.1776428,2.4502666871247913,0.013812345452606678
ACCESS-ESM1-5,5,1.1128629007678335,2.1776428,2.4234178832441873,0.014031740836799145
ACCESS-ESM1-5,10,1.0969469506164633,2.1776428,2.388758628991897,0.01432225201278925
ACCESS-ESM1-5,15,1.0852906359582333,2.1776428,2.363375339301868,0.014540418051183224
ACCESS-ESM1-5,25,1.0705915470109275,2.1776428,2.331365974089208,0.014822307042777538
ACCESS-ESM1-5,35,1.0640612169034174,2.1776428,2.3171452477489654,0.0149500397965312
ACCESS-ESM1-5,45,1.068269606349344,2.1776428,2.3263096167254833,0.01486754510551691
ACCESS-ESM1-5,55,1.0844117952115888,2.1776428,2.361461538077591,0.014557057060301304
ACCESS-ESM1-5,65,1.1176929382391159,2.1776428,2.4339359795672553,0.013945215381681919
ACCESS-ESM1-5,75,1.1833167477341,2.1776428,2.5768411958225794,0.012839621864259243
ACCESS-ESM1-5,85,1.3219908970400385,2.1776428,2.878823958604781,0.01086436491459608
ACCESS-ESM1-5,90,1.4163940105626618,2.1776428,3.0844002190649045,0.009740972891449928
ACCESS-ESM1-5,95,1.48004706684449,2.1776428,3.2230138387750227,0.009064395911991596
ACCESS-ESM1-5,98,1.5223661704998375,2.1776428,3.315169730152544,0.008645892143249512
ACCESS-ESM1-5,99,1.5502374406583632,2.1776428,3.375863400940112,0.008382746018469334
