model,gamma,dT_O,dT_L_x,percentile
ACCESS-CM2,1.209808988452566,2.447876,2.9614623874173134,1
ACCESS-CM2,1.2059095958251234,2.447876,2.95191715779002,2
ACCESS-CM2,1.196494844187561,2.447876,2.9288710132104696,5
ACCESS-CM2,1.1862057210371102,2.447876,2.903684515589437,10
ACCESS-CM2,1.1805638181557605,2.447876,2.88987383693185,15
ACCESS-CM2,1.176318607534205,2.447876,2.8794820877364,25
ACCESS-CM2,1.1789958584906464,2.447876,2.8860356660986493,35
ACCESS-CM2,1.1942203128470432,2.447876,2.923303242530769,45
ACCESS-CM2,1.225943146812349,2.447876,3.0009568064464256,55
ACCESS-CM2,1.2797972101776247,2.447876,3.132784875660763,65
ACCESS-CM2,1.3754501455695216,2.447876,3.366931400536138,75
ACCESS-CM2,1.55820914114549,2.447876,3.814302759590657,85
ACCESS-CM2,1.6917879682738004,2.447876,4.141287164626197,90
ACCESS-CM2,1.857907396035389,2.447876,4.547926924977523,95
ACCESS-CM2,1.9800356249394275,2.447876,4.846881685434226,98
ACCESS-CM2,2.0392993632665317,2.447876,4.991951968155424,99
ACCESS-ESM1-5,1.1175657547667313,2.1776428,2.433659019394338,1
ACCESS-ESM1-5,1.1131113417363114,2.1776428,2.4239588989304184,2
ACCESS-ESM1-5,1.101193088126346,2.1776428,2.398005199768103,5
ACCESS-ESM1-5,1.0859708970673123,2.1776428,2.3648567050081746,10
ACCESS-ESM1-5,1.0751173524589597,2.1776428,2.3412215617373158,15
ACCESS-ESM1-5,1.062326517261684,2.1776428,2.313367691563982,25
ACCESS-ESM1-5,1.0575031762089595,2.1776428,2.302864177648572,35
ACCESS-ESM1-5,1.063492481200071,2.1776428,2.31590674453947,45
ACCESS-ESM1-5,1.0815849908410562,2.1776428,2.355305767893092,55
ACCESS-ESM1-5,1.1172614458382737,2.1776428,2.4329963432473063,65
ACCESS-ESM1-5,1.1862383953434184,2.1776428,2.5832035007031484,75
ACCESS-ESM1-5,1.3305020674824053,2.1776428,2.897358247638174,85
ACCESS-ESM1-5,1.4291179186103935,2.1776428,3.112108345812909,90
ACCESS-ESM1-5,1.4983891954441124,2.1776428,3.262956443056664,95
ACCESS-ESM1-5,1.5463228163132143,2.1776428,3.367338747420194,98
ACCESS-ESM1-5,1.5776454005803704,2.1776428,3.43554814752696,99
BCC-CSM2-MR,1.1369490079886422,1.6282959,1.8512894082169733,1
BCC-CSM2-MR,1.1335757538214633,1.6282959,1.8457967522868977,2
BCC-CSM2-MR,1.1255791290191846,1.6282959,1.8327758809075088,5
BCC-CSM2-MR,1.1170853553897009,1.6282959,1.8189455041310925,10
BCC-CSM2-MR,1.1122064202404314,1.6282959,1.8110011540311712,15
BCC-CSM2-MR,1.1088444599950535,1.6282959,1.80552688794766,25
BCC-CSM2-MR,1.1133813794011185,1.6282959,1.8129143352151853,35
BCC-CSM2-MR,1.1251348199768532,1.6282959,1.832052414315548,45
BCC-CSM2-MR,1.146319217922935,1.6282959,1.866546882635121,55
BCC-CSM2-MR,1.1807460040928952,1.6282959,1.9226038774058445,65
BCC-CSM2-MR,1.2400281460786935,1.6282959,2.0191327461445376,75
BCC-CSM2-MR,1.3470601331559309,1.6282959,2.193412491871256,85
BCC-CSM2-MR,1.423476694022121,1.6282959,2.3178412646217743,90
BCC-CSM2-MR,1.520597293901316,1.6282959,2.475982339210608,95
BCC-CSM2-MR,1.5983453510609142,1.6282959,2.602579181916547,98
BCC-CSM2-MR,1.6397492112654546,1.6282959,2.669996917731773,99
CanESM5,1.2609574146313738,2.4907837,3.1407721747579678,1
CanESM5,1.256474728405621,2.4907837,3.129606772974648,2
CanESM5,1.2445152228876326,2.4907837,3.0998182315703824,5
CanESM5,1.2287683014931727,2.4907837,3.0605960564358803,10
CanESM5,1.2171829388719722,2.4907837,3.031739424060405,15
