model,percentile,gamma,dT_O,dT_L_x,q_L_x
ACCESS-CM2,1,1.2331634350461516,2.447876,3.018631176727033,0.011970960535109
ACCESS-CM2,2,1.2291222901898142,2.447876,3.008738955220682,0.0120302252471446
ACCESS-CM2,5,1.218976554129966,2.447876,2.9839034514174445,0.0121807474642992
ACCESS-CM2,10,1.2072923751316087,2.447876,2.955302030067662,0.0123572284355759
ACCESS-CM2,15,1.200316085087429,2.447876,2.9382249370994757,0.0124642383307218
ACCESS-CM2,25,1.1936620397931992,2.447876,2.921936659320817,0.0125674707815051
ACCESS-CM2,35,1.194232422366745,2.447876,2.923332885133419,0.0125585766509175
ACCESS-CM2,45,1.2072397974067723,2.447876,2.9551733263169,0.0123580303043127
ACCESS-CM2,55,1.236466904605782,2.447876,3.0267176605787838,0.0119228018447756
ACCESS-CM2,65,1.2874390948260328,2.447876,3.15149126168637,0.0112110450863838
ACCESS-CM2,75,1.3790352557021726,2.447876,3.3757073055872118,0.0100642582401633
ACCESS-CM2,85,1.555576807871487,2.447876,3.807859134145224,0.008234946988523
ACCESS-CM2,90,1.6847727047046004,2.447876,4.124114669301478,0.007139166817069
ACCESS-CM2,95,1.844947549593368,2.447876,4.516202827908415,0.0059937159530818
ACCESS-CM2,98,1.9616466702082445,2.447876,4.801867804482677,0.0052769617177546
ACCESS-CM2,99,2.0174907407944453,2.447876,4.938567164612944,0.004963306710124
ACCESS-ESM1-5,1,1.1381649794500956,2.1776428,2.478516772711649,0.0137314908206462
ACCESS-ESM1-5,2,1.133532849131765,2.1776428,2.468429647475275,0.0138123454526066
ACCESS-ESM1-5,5,1.121151656086515,2.1776428,2.441467831584875,0.0140317408367991
ACCESS-ESM1-5,10,1.105167422501922,2.1776428,2.406659880405869,0.0143222520127892
ACCESS-ESM1-5,15,1.09346017696984,2.1776428,2.381165681465098,0.0145404180511832
ACCESS-ESM1-5,25,1.0786957501881842,2.1776428,2.349014033787898,0.0148223070427775
ACCESS-ESM1-5,35,1.0721359946429971,2.1776428,2.3347292293551614,0.0149500397965312
ACCESS-ESM1-5,45,1.0763633749943489,2.1776428,2.343934953740144,0.0148675451055169
ACCESS-ESM1-5,55,1.0925774646153978,2.1776428,2.379243449261976,0.0145570570603013
ACCESS-ESM1-5,65,1.1260021280893744,2.1776428,2.452030427018504,0.0139452153816819
ACCESS-ESM1-5,75,1.1918903093030877,2.1776428,2.595511350443642,0.0128396218642592
ACCESS-ESM1-5,85,1.3310418909013155,2.1776428,2.898533790219636,0.010864364914596
ACCESS-ESM1-5,90,1.425706985435572,2.1776428,3.104680551743478,0.0097409728914499
ACCESS-ESM1-5,95,1.489507890298921,2.1776428,3.2436161328526354,0.0090643959119915
ACCESS-ESM1-5,98,1.53191246051777,2.1776428,3.335958139876806,0.0086458921432495
ACCESS-ESM1-5,99,1.5598344245910944,2.1776428,3.39676220390294,0.0083827460184693
BCC-CSM2-MR,1,1.1391443750915098,1.6282959,1.8548641154695675,0.0126463593915104
BCC-CSM2-MR,2,1.13577397443494,1.6282959,1.8493761058991176,0.012701854109764
BCC-CSM2-MR,5,1.1268415487230046,1.6282959,1.8348314737353184,0.0128505351021885
BCC-CSM2-MR,10,1.1171551868301433,1.6282959,1.819059210379256,0.0130144525319337
BCC-CSM2-MR,15,1.1108712563378778,1.6282959,1.8088271121228152,0.0131223211064934
BCC-CSM2-MR,25,1.1050030507432709,1.6282959,1.7992719370127594,0.0132241612300276
BCC-CSM2-MR,35,1.1070043439851822,1.6282959,1.8025306345932617,0.0131893083453178
BCC-CSM2-MR,45,1.116171382487847,1.6282959,1.8174572858022928,0.0130312601104378
BCC-CSM2-MR,55,1.1342587948610474,1.6282959,1.8469089452111844,0.0127269094809889
BCC-CSM2-MR,65,1.164788388620704,1.6282959,1.896620157558699,0.0122346403077244
BCC-CSM2-MR,75,1.218860359210237,1.6282959,1.984665325574556,0.0114232832565903
BCC-CSM2-MR,85,1.3184879836939392,1.6282959,2.146888578048108,0.0101026250049471
