model,percentile,gamma,dT_O,dT_L_x,q_L_x
ACCESS-CM2,1,1.2253948338284744,2.447876,2.9996146042527103,0.011970960535109
ACCESS-CM2,2,1.221366394393128,2.447876,2.989753484041473,0.0120302252471446
ACCESS-CM2,5,1.2112529273962498,2.447876,2.964996970903022,0.0121807474642992
ACCESS-CM2,10,1.1996065674479344,2.447876,2.93648812589818,0.0123572284355759
ACCESS-CM2,15,1.1926531933189093,2.447876,2.9194671282487183,0.0124642383307218
ACCESS-CM2,25,1.186021238966553,2.447876,2.9032329263564898,0.0125674707815051
ACCESS-CM2,35,1.1865897189768049,2.447876,2.904624494930065,0.0125585766509175
ACCESS-CM2,45,1.1995541614944762,2.447876,2.9363598426224526,0.0123580303043127
ACCESS-CM2,55,1.2286879797219583,2.447876,3.007675817049869,0.0119228018447756
ACCESS-CM2,65,1.2795080036140267,2.447876,3.132076933854689,0.0112110450863838
ACCESS-CM2,75,1.3708643767294777,2.447876,3.3557060070510465,0.0100642582401633
ACCESS-CM2,85,1.547065854446828,2.447876,3.787025375519884,0.008234946988523
ACCESS-CM2,90,1.676114860431077,2.447876,4.102921340092583,0.007139166817069
ACCESS-CM2,95,1.8362274028874068,2.447876,4.494856990070414,0.0059937159530818
ACCESS-CM2,98,1.9529647402666304,2.447876,4.780615516544919,0.0052769617177546
ACCESS-CM2,99,2.008852053320437,2.447876,4.917420728873819,0.004963306710124
ACCESS-ESM1-5,1,1.1298051351066,2.1776428,2.4603120178679143,0.0137314908206462
ACCESS-ESM1-5,2,1.125192197326757,2.1776428,2.450266687124792,0.0138123454526066
ACCESS-ESM1-5,5,1.1128629007678337,2.1776428,2.4234178832441877,0.0140317408367991
ACCESS-ESM1-5,10,1.0969469506164633,2.1776428,2.388758628991897,0.0143222520127892
ACCESS-ESM1-5,15,1.0852906359582333,2.1776428,2.363375339301868,0.0145404180511832
ACCESS-ESM1-5,25,1.0705915470109275,2.1776428,2.331365974089208,0.0148223070427775
ACCESS-ESM1-5,35,1.0640612169034174,2.1776428,2.3171452477489654,0.0149500397965312
ACCESS-ESM1-5,45,1.068269606349344,2.1776428,2.3263096167254838,0.0148675451055169
ACCESS-ESM1-5,55,1.0844117952115888,2.1776428,2.361461538077591,0.0145570570603013
ACCESS-ESM1-5,65,1.117692938239116,2.1776428,2.4339359795672557,0.0139452153816819
ACCESS-ESM1-5,75,1.1833167477341,2.1776428,2.5768411958225794,0.0128396218642592
ACCESS-ESM1-5,85,1.3219908970400385,2.1776428,2.878823958604781,0.010864364914596
ACCESS-ESM1-5,90,1.4163940105626618,2.1776428,3.0844002190649045,0.0097409728914499
ACCESS-ESM1-5,95,1.48004706684449,2.1776428,3.2230138387750227,0.0090643959119915
ACCESS-ESM1-5,98,1.5223661704998377,2.1776428,3.315169730152544,0.0086458921432495
ACCESS-ESM1-5,99,1.5502374406583632,2.1776428,3.375863400940112,0.0083827460184693
BCC-CSM2-MR,1,1.1539282559612278,1.6282959,1.8789366480758176,0.0126463593915104
BCC-CSM2-MR,2,1.1505352648419307,1.6282959,1.8734118545475296,0.012701854109764
BCC-CSM2-MR,5,1.1415423651511267,1.6282959,1.8587687528518824,0.0128505351021885
BCC-CSM2-MR,10,1.1317894345423372,1.6282959,1.8428880959286056,0.0130144525319337
BCC-CSM2-MR,15,1.1254617670333789,1.6282959,1.8325847808672056,0.0131223211064934
BCC-CSM2-MR,25,1.1195523261858165,1.6282959,1.8229624625638277,0.0132241612300276
BCC-CSM2-MR,35,1.1215677248157792,1.6282959,1.8262441278898611,0.0131893083453178
BCC-CSM2-MR,45,1.1307988114293308,1.6282959,1.8412750683752523,0.0130312601104378
BCC-CSM2-MR,55,1.1490098889706508,1.6282959,1.8709280912703656,0.0127269094809889
BCC-CSM2-MR,65,1.1797400662346669,1.6282959,1.920965912915636,0.0122346403077244
BCC-CSM2-MR,75,1.234142192420802,1.6282959,2.009548671935803,0.0114232832565903
BCC-CSM2-MR,85,1.3342941794831449,1.6282959,2.1726257418462684,0.0101026250049471
BCC-CSM2-MR,90,1.4061867067860288,1.6282959,2.2896880492941927,0.0092705991119146
BCC-CSM2-MR,95,1.4972646943619974,1.6282959,2.437989963044393,0.0083312662318348
BCC-CSM2-MR,98,1.5697759483915696,1.6282959,2.556059740684604,0.0076613556593656
BCC-CSM2-MR,99,1.6084522838464648,1.6282959,2.6190362591328347,0.0073287365958094
CanESM5,1,1.2748282822456862,2.4907837,3.1753215057165547,0.0141102913767099
CanESM5,2,1.270465910494009,2.4907837,3.1644557812641367,0.014178697951138
CanESM5,5,1.2581379744298962,2.4907837,3.1337495590610023,0.0143745774403214
CanESM5,10,1.2414220810586982,2.4907837,3.0921138843210847,0.0146463913843035
