model,gamma,dT_O,dT_L_x
BCC-CSM2-MR,1.1369490079886422,1.6282959,1.8512894082169733
BCC-CSM2-MR,1.1335757538214633,1.6282959,1.8457967522868979
BCC-CSM2-MR,1.1255791290191846,1.6282959,1.8327758809075092
BCC-CSM2-MR,1.1170853553897007,1.6282959,1.8189455041310925
BCC-CSM2-MR,1.1122064202404314,1.6282959,1.8110011540311712
BCC-CSM2-MR,1.1088444599950535,1.6282959,1.8055268879476596
BCC-CSM2-MR,1.1133813794011183,1.6282959,1.8129143352151853
BCC-CSM2-MR,1.1251348199768532,1.6282959,1.8320524143155479
BCC-CSM2-MR,1.1463192179229347,1.6282959,1.866546882635121
BCC-CSM2-MR,1.1807460040928952,1.6282959,1.9226038774058445
BCC-CSM2-MR,1.2400281460786935,1.6282959,2.0191327461445376
BCC-CSM2-MR,1.3470601331559309,1.6282959,2.193412491871256
BCC-CSM2-MR,1.423476694022121,1.6282959,2.3178412646217743
BCC-CSM2-MR,1.520597293901316,1.6282959,2.4759823392106077
BCC-CSM2-MR,1.5983453510609142,1.6282959,2.602579181916547
BCC-CSM2-MR,1.6397492112654546,1.6282959,2.6699969177317735
